Date,Open,High,Low,Close,Volume
2022-12-16,31700,31900,31150,31450,315888
2022-12-19,31450,31700,30800,31200,225356
2022-12-20,31000,31200,30100,30200,311973
2022-12-21,30400,30850,30100,30600,356020
2022-12-22,31150,32900,31100,32250,940467
2022-12-23,31450,32150,31150,31300,609904
2022-12-26,31350,32100,30800,31750,427095
2022-12-27,31750,32500,31200,31850,736324
2022-12-28,31850,31950,30450,30600,733846
2022-12-29,30400,30600,29700,29950,315497
2023-01-02,30050,31100,29850,30000,333132
2023-01-03,30050,30350,28650,30100,574153
2023-01-04,29700,32150,29550,31900,938721
2023-01-05,31900,32100,30900,31400,459746
2023-01-06,31100,32850,31050,32450,603499
2023-01-09,32950,33500,32400,32550,512995
2023-01-10,32500,32850,31900,31950,367972
2023-01-11,32250,32750,32100,32350,311192
2023-01-12,32700,32700,31850,32000,378542
2023-01-13,32400,32550,31600,31850,260916
2023-01-16,31900,32150,31450,31500,260308
2023-01-17,31500,31850,30900,30950,385058
2023-01-18,31100,31250,30850,31100,193444
2023-01-19,30800,31150,30350,30950,304928
2023-01-20,30800,31850,30750,31300,397798
2023-01-25,32000,33050,31700,32950,794433
2023-01-26,33050,33650,32500,33300,624701
2023-01-27,33300,33550,32800,32900,365339
2023-01-30,32800,32950,31900,32500,388338
2023-01-31,32300,34000,32000,33400,964719
2023-02-01,33700,35700,33650,34850,1978226
2023-02-02,36000,36050,35000,35200,867655
2023-02-03,35000,35400,34650,34900,464351
2023-02-06,34700,34900,33850,34450,395899
2023-02-07,34250,35800,34250,35500,710709
2023-02-08,35900,36200,35200,35900,643113
2023-02-09,35700,37400,35350,36700,996160
2023-02-10,36450,37300,36050,36350,525179
2023-02-13,36100,37450,36100,36650,532715
2023-02-14,36850,37050,36450,36750,407672
2023-02-15,37000,37800,36250,36450,989909
2023-02-16,36850,38000,36700,37950,890427
2023-02-17,37500,38150,37200,37450,466402
2023-02-20,37500,38550,37200,37800,523095
2023-02-21,37600,37600,36150,36350,815754
2023-02-22,35650,36700,35500,36100,619345
2023-02-23,36500,36850,36150,36300,479412
2023-02-24,36450,36800,35700,35700,444474
2023-02-27,35450,35700,34950,35200,335772
2023-02-28,35600,36300,35150,35650,394382
2023-03-02,35350,35750,34500,34800,488297
2023-03-03,35150,36850,34850,35800,774561
2023-03-06,36400,37650,35800,37400,900993
2023-03-07,38000,38000,35000,35100,1262458
2023-03-08,34650,35250,32500,33100,2477476
2023-03-09,32800,33150,29950,31550,3429356
2023-03-10,31050,32150,30850,31900,1194819
2023-03-13,31650,31900,30600,31250,932222
2023-03-14,31050,31050,29450,29700,934433
2023-03-15,30700,30700,29800,30150,541119
2023-03-16,29700,31650,29500,31200,958916
2023-03-17,31700,31800,31100,31400,998535
2023-03-20,31550,31700,31000,31250,419943
2023-03-21,31400,31500,30800,31000,456707
2023-03-22,31300,31350,30550,31150,616548
2023-03-23,30800,31100,30200,30600,736998
2023-03-24,31100,32500,30900,32100,1544185
2023-03-27,32150,32300,30950,32150,742152
2023-03-28,32300,33200,31800,33050,974177
2023-03-29,33600,33600,32500,33200,705721
2023-03-30,34100,35000,33500,34200,1648206
2023-03-31,34500,34600,32750,33000,979119
2023-04-03,33350,33350,32450,33150,669779
2023-04-04,32550,32600,30750,30950,1865464
2023-04-05,31000,31450,30950,31400,503801
2023-04-06,31250,31250,30600,30900,512244
2023-04-07,31400,32700,31350,32500,1257231
2023-04-10,33000,33150,31950,32150,811775
2023-04-11,32550,33200,32300,33000,1077116
2023-04-12,33300,33400,32150,32350,779697
2023-04-13,32000,32400,31500,32250,554110
2023-04-14,32550,32600,31900,32150,488958
2023-04-17,32100,32300,31350,32100,473070
2023-04-18,31900,31950,31050,31400,695093
2023-04-19,31250,31750,31200,31450,389559
2023-04-20,31500,31500,30550,30700,534960
2023-04-21,30750,31200,30300,30450,376354
2023-04-24,30300,30450,29900,30100,357236
2023-04-25,30050,30200,29100,29700,604905
2023-04-26,29400,30100,29100,29500,430838
2023-04-27,29350,30100,29000,30100,415234
2023-04-28,30100,30100,29250,29450,470337
2023-05-02,29600,30100,29250,29650,285156
2023-05-03,29300,29900,29050,29600,267966
2023-05-04,29600,29600,29000,29400,333956
2023-05-08,30050,32000,29750,31600,1903198
2023-05-09,31100,31300,29500,30100,1192929
2023-05-10,30200,31000,29850,30850,504996
2023-05-11,31050,31100,30250,30350,496335
2023-05-12,30250,30650,29950,30350,240395
2023-05-15,30050,30350,29600,30250,304593
2023-05-16,30850,31150,29950,29950,437011
2023-05-17,30000,30550,29950,30550,244834
2023-05-18,30850,30950,30400,30800,315918
2023-05-19,31300,35450,31300,35200,5312072
2023-05-22,35250,37500,35000,36900,3088653
2023-05-23,36500,37750,36400,36850,1318317
2023-05-24,36400,37450,36050,36800,983202
2023-05-25,37750,38000,35000,35650,1818892
2023-05-26,36050,39150,35650,38700,4021251
2023-05-30,39700,39700,38400,39050,1676298
2023-05-31,38850,39700,38000,38350,1105325
2023-06-01,37500,38900,37450,38650,776178
2023-06-02,39000,39200,37550,37700,773061
2023-06-05,37900,38250,37250,37850,477320
2023-06-07,37800,38100,37150,37450,495609
2023-06-08,37300,37700,36500,37450,739622
2023-06-09,37600,38300,36750,37900,818706
2023-06-12,38000,38100,36400,36950,804805
2023-06-13,37400,37950,37050,37350,763589
2023-06-14,37600,37650,36200,36650,731533
2023-06-15,37400,39200,37200,38600,1472019
2023-06-16,38350,38350,37300,37500,744213
2023-06-19,37750,38400,36900,38400,809247
2023-06-20,38850,38900,37600,38550,855613
2023-06-21,38200,38600,36700,36900,770570
2023-06-22,36250,36950,35700,36150,726005
2023-06-23,36500,36950,35900,36150,460135
2023-06-26,37200,39500,37100,39150,2691039
2023-06-27,38850,39500,38550,38750,845841
2023-06-28,39000,39050,37350,37750,847592
2023-06-29,38050,39300,38000,39000,989776
2023-06-30,38850,43300,38100,42100,4613073
2023-07-03,42500,42600,41100,41550,1724858
2023-07-04,41950,42250,41100,41750,1226259
2023-07-05,41750,42000,40700,41300,1054215
2023-07-06,40900,41300,39250,39400,1333501
2023-07-07,39200,40400,38800,39950,1025242
2023-07-10,39450,39800,36650,36850,2169610
2023-07-11,37300,37950,36750,37900,784674
2023-07-12,39000,40900,39000,39600,2268198
2023-07-13,39850,40650,39250,40250,1142364
2023-07-14,40700,42250,39800,40550,2302065
2023-07-17,40100,40850,39100,40150,925234
2023-07-18,40750,40850,38850,39950,871153
2023-07-19,40350,43250,38900,40050,3207493
2023-07-20,39400,40050,38550,39600,929972
2023-07-21,38450,39150,38050,38300,931330
2023-07-24,37900,39200,37900,39050,823372
2023-07-25,39200,40800,38850,39500,1388073
2023-07-26,40000,40000,37950,38400,1381570
2023-07-27,38500,40350,38200,39500,1254503
2023-07-28,39600,41450,39600,41100,1880730
2023-07-31,42050,44900,41500,42350,3915236
2023-08-01,42150,42500,40350,40850,1771338
2023-08-02,40350,40600,38600,39050,1318837
2023-08-03,38850,39200,37900,38600,1060884
2023-08-04,38500,39350,37750,37800,856940
2023-08-07,37950,38800,37200,37850,927144
2023-08-08,38150,38250,36250,36450,984525
2023-08-09,36350,37150,36150,37050,496280
2023-08-10,36350,36400,35250,36200,864600
2023-08-11,36050,36650,35850,36250,432741
2023-08-14,36000,36000,35000,35900,417442
2023-08-16,35950,36300,35150,35450,531085
2023-08-17,34950,36350,34750,36300,557003
2023-08-18,35750,37050,35250,36100,713092
2023-08-21,36450,36700,35800,36250,523669
2023-08-22,37000,37150,35200,35350,711865
2023-08-23,35050,35400,33800,34050,890707
2023-08-24,34650,35350,34600,34850,679565
2023-08-25,34000,34100,33200,33600,753967
2023-08-28,33900,33950,33400,33550,371094
2023-08-29,33650,34050,33550,33950,424845
2023-08-30,34500,34900,34000,34100,478711
2023-08-31,34100,34300,33400,34100,536852
2023-09-01,34200,35600,33750,35350,1011920
2023-09-04,35700,35800,34800,35300,491066
2023-09-05,35400,35600,34900,35350,373839
2023-09-06,35400,35400,34350,34500,410146
2023-09-07,34200,34800,34000,34600,399088
2023-09-08,34800,34850,33800,34200,399681
2023-09-11,34200,34250,33500,33800,316566
2023-09-12,34050,34300,33550,34100,339042
2023-09-13,33900,34800,33500,33600,440631
2023-09-14,33900,36100,33700,36000,1086116
2023-09-15,35950,36300,35500,35800,530792
2023-09-18,35100,35550,34850,34950,428288
2023-09-19,35000,35500,34650,34800,297594
2023-09-20,34700,34900,33500,33850,513439
2023-09-21,33450,33600,32300,32500,608315
2023-09-22,31650,32650,31650,32600,325640
2023-09-25,32300,33550,32150,33400,384668
2023-09-26,33300,33500,32800,33300,270447
2023-09-27,33000,33750,32900,33600,341837
2023-10-04,33300,33700,32650,33250,441798
2023-10-05,33700,34100,32750,32750,393854
2023-10-06,32500,33200,32500,33100,168580
2023-10-10,33250,33650,31950,32200,368668
2023-10-11,32700,34150,32700,33450,388082
2023-10-12,33800,34100,33400,33800,310786
2023-10-13,33450,34150,33400,33700,291072
2023-10-16,33150,33400,31900,32450,465264
2023-10-17,32800,33850,32500,33750,393782
2023-10-18,33350,34050,33000,33800,335317
2023-10-19,33150,33400,32450,32650,287296
2023-10-20,32300,32800,31500,32200,431553
2023-10-23,32200,32950,31900,32000,307659
2023-10-24,32400,33250,31900,33250,365011
2023-10-25,33350,33350,32150,32400,393662
2023-10-26,31500,31650,30400,30400,661337
2023-10-27,30650,31500,30450,31000,384662
2023-10-30,31000,31450,30700,30950,373925
2023-10-31,31100,31350,29950,29950,485936
2023-11-01,30300,31200,30300,30450,436320
2023-11-02,31600,32350,31550,32150,623129
2023-11-03,32350,32850,31800,32700,333476
2023-11-06,34000,34500,32950,34400,797668
2023-11-07,34200,34800,33100,34100,696061
2023-11-08,34400,35350,34350,34650,797487
2023-11-09,35150,36250,34900,35050,832637
2023-11-10,34850,36050,34300,35700,679750
2023-11-13,36350,37450,36000,36250,1169400
2023-11-14,36500,37100,36000,36850,581383
2023-11-15,37550,37600,36300,36600,913642
