종목명,티커,배율,상장일,기초지수,시가총액,구성종목수
Single Stock ETFS,,,,,,
Direxion Daily AAPL Bull 2X Shares  ,AAPU,2,2022.08.08,AAPL,97.9M,
Direxion Daily AAPL Bear 1X Shares ,AAPD,-1,2022.08.08,AAPL,25.6M,
Direxion Daily AMZN Bull 2X Shares ,AMZU,2,2022.09.06,AMZN,205.9M,
Direxion Daily AMZN Bear 1X Shares,AMZD,-1,2022.09.06,AMZN,4.9M,
Direxion Daily AVGO Bull 2X Shares,AVL,2,2024.10.09,AVGO,44.3M,
Direxion Daily AVGO Bear 1X Shares,AVS,-1,2024.10.09,AVGO,8.6M,
Direxion Daily BRKB Bull 2X Shares,BRKU,2,2024.12.10,BRKB,7.8M,
Direxion Daily BRKB Bear 1X Shares,BRKD,-1,2024.12.10,BRKB,3.2M,
Direxion Daily GOOGL Bull 2X Shares,GGLL,2,2022.09.06,GOOGL,168.1M,
Direxion Daily GOOGL Bear 1X Shares,GGLS,-1,2022.09.06,GOOGL,4.0M,
Direxion Daily META Bull 2X Shares ,METU,2,2024.06.05,META,44.9M,
Direxion Daily META Bear 1X Shares,METD,-1,2024.06.05,META,5.0M,
Direxion Daily MSFT Bull 2X Shares,MSFU,2,2022.09.06,MSFT,115.5M,
Direxion Daily MSFT Bear 1X Shares,MSFD,-1,2022.09.06,MSFT,5.5M,
Direxion Daily MU Bull 2X Shares,MUU,2,2024.10.09,MU,21.4M,
Direxion Daily MU Bear 1X Shares,MUD,-1,2024.10.09,MU,4.3M,
Direxion Daily NFLX Bull 2X Shares,NFXL,2,2024.10.02,NFLX,12.7M,
Direxion Daily NFLX Bear 1X Shares,NFXS,-1,2024.10.02,NFLX,5.5M,
Direxion Daily NVDA Bull 2X Shares,NVDU,2,2023.09.12,NVDA,715.5M,
Direxion Daily NVDA Bear 1X Shares,NVDD,-1,2023.09.12,NVDA,21.4M,
Direxion Daily PLTR Bull 2X Shares,PLTU,2,2024.12.10,PLTR,32.4M,
Direxion Daily PLTR Bear 1X Shares,PLTD,-1,2024.12.10,PLTR,8.2M,
Direxion Daily TSLA Bull 2X Shares,TSLL,2,2022.08.08,TSLA,4907.4M,
Direxion Daily TSLA Bear 1X Shares,TSLS,-1,2022.08.08,TSLA,63.0M,
Direxion Daily TSM Bull 2X Shares,TSMX,2,2024.10.02,TSM,86.3M,
Direxion Daily TSM Bear 1X Shares,TSMZ,-1,2024.10.02,TSM,2.6M,
Fixed income x3,,,,,,
Direxion Daily 20+ Year Treasury Bull 3X Shares, TMF,3,2009.04.16,ICE U.S. Treasury 20+ Year Bond TR USD,5040.5,8
Direxion Daily 20+ Year Treasury Bear 3X Shares,TMV,-3,2009.04.16,ICE U.S. Treasury 20+ Year Bond TR USD,211.5,11
Direxion Daily 7-10 Year Treasury Bull 3X Shares,TYD,3,2009.04.16,ICE U.S. Treasury 7-10 Year Bond TR USD,46,6
Direxion Daily 7-10 Year Treasury Bear 3X Shares,TYO,-3,2009.04.16,ICE U.S. Treasury 7-10 Year Bond TR USD,17.2,6
International x3,,,,,,
Direxion Daily FTSE China Bull 3X Shares,YINN,3,2009.12.03,FTSE China 50 NR USD,1337.2,8
Direxion Daily FTSE China Bear 3X Shares,YANG,-3,2009.12.03,FTSE China 50 NR USD,173.8,8
Direxion Daily FTSE Europe Bull 3X Shares,EURL,3,2014.01.22,FTSE Developed Europe All Cap NR USD,15,6
Direxion Daily MSCI Emerging Markets Bull 3X Shares,EDC,3,2008.12.17,MSCI EM GR USD,60.6,6
