Date,Open,High,Low,Close,Volume
2023-01-05,9455,9460,9030,9145,250947
2023-01-06,9075,9270,9065,9190,350468
2023-01-09,9265,9465,9255,9465,303667
2023-01-10,9525,9540,9345,9405,110486
2023-01-11,9435,9700,9435,9690,339937
2023-01-12,9810,10005,9750,9940,388065
2023-01-13,10000,10195,9940,10195,383487
2023-01-16,10290,10290,9955,10045,414091
2023-01-17,10070,10255,10045,10085,309835
2023-01-18,10130,10130,9820,9850,320157
2023-01-19,9805,9880,9700,9760,157525
2023-01-20,9760,9855,9665,9830,107758
2023-01-25,9975,9975,9780,9810,332594
2023-01-26,9800,10170,9800,10165,302933
2023-01-27,10165,10260,10120,10165,347444
2023-01-30,10190,10435,9940,9995,229593
2023-01-31,9990,10220,9960,10175,533029
2023-02-01,10250,10295,10170,10260,175768
2023-02-02,10370,10390,10195,10285,392198
2023-02-03,10285,10385,10185,10325,73861
2023-02-06,10220,10355,10055,10260,117590
2023-02-07,10255,10320,10115,10150,111110
2023-02-08,10180,10335,10165,10240,86934
2023-02-09,10270,10360,10225,10265,222522
2023-02-10,10270,10530,10200,10430,324607
2023-02-13,10470,10525,10335,10395,112030
2023-02-14,10420,10490,10345,10435,78350
2023-02-15,10480,10480,10055,10085,151304
2023-02-16,10140,10235,10070,10160,65312
2023-02-17,10030,10180,9965,10170,46686
2023-02-20,10230,10265,10035,10140,53149
2023-02-21,10190,10270,10130,10185,64749
2023-02-22,10130,10300,10055,10090,82535
2023-02-23,10170,10280,10090,10235,66654
2023-02-24,10250,10330,10190,10275,68380
2023-02-27,10395,10395,9995,10100,80433
2023-02-28,10110,10195,10050,10060,104358
2023-03-02,10095,10215,10095,10150,55674
2023-03-03,10155,10270,10155,10250,69936
2023-03-06,10290,10405,10280,10360,83834
2023-03-07,10380,10425,10305,10355,66503
2023-03-08,10295,10295,10155,10220,74470
2023-03-09,10290,10355,10205,10255,82373
2023-03-10,10185,10200,10010,10040,74252
2023-03-13,9895,10050,9760,10040,100269
2023-03-14,10040,10080,9840,9845,150635
2023-03-15,9990,10180,9945,10130,60176
2023-03-16,10080,10120,9850,9975,55786
2023-03-17,10045,10170,9965,10000,57792
2023-03-20,10000,10265,10000,10110,58452
2023-03-21,10200,10280,10190,10215,71310
2023-03-22,10320,10320,9795,9870,162575
2023-03-23,9870,9980,9845,9910,55614
2023-03-24,9930,10000,9840,9910,58501
2023-03-27,9910,9975,9820,9940,81416
2023-03-28,9960,10315,9960,10260,152216
2023-03-29,10275,10280,10150,10250,49366
2023-03-30,10255,10435,10210,10400,104278
