,Day,Cash,Portfolio,Total,Open,Close,High,Low,Buy sign,Target price,Tag
0,2010-03-15,-24.98999999999978,10009.978587451937,9984.988587451937,164357823.56409633,172604300.7549296,167909520.19849184,161500136.61688152,1,166417413.64383054,BH
1,2010-03-16,10279.408155867597,0.0,10279.408155867597,172604300.7549296,162275798.21109122,174849626.3323944,171338753.6112676,0,166417413.64383054,SLLC
2,2010-03-17,10279.408155867597,0.0,10279.408155867597,162275798.21109122,159744704.0,162275798.21109122,159744704.0,0,0.0,
3,2010-03-18,10279.408155867597,0.0,10279.408155867597,159744704.0,159744704.0,159744704.0,159744704.0,0,0.0,
4,2010-03-19,10279.408155867597,0.0,10279.408155867597,159744704.0,166439831.52964234,159744704.0,159744704.0,0,0.0,
5,2010-03-22,-25.681844132403967,10289.661272351423,10263.97942821902,166439831.52964234,169624083.71497196,166643952.0,166439831.52964234,1,166606271.361172,BH
6,2010-03-23,10371.936836844896,0.0,10371.936836844896,169624083.71497196,150314314.735426,169624083.71497196,152967856.0,0,166606271.361172,SLLC
7,2010-03-24,10371.936836844896,0.0,10371.936836844896,150314314.735426,145456246.791587,150314314.735426,145497071.6233184,0,0.0,
8,2010-03-25,10340.857119862543,0.0,10340.857119862543,145456246.791587,145333785.53788084,149457008.0,145374598.60366023,0,147529476.14086053,BLC
9,2010-03-26,-25.85288013745685,10351.183839690719,10325.330959553263,145333785.53788084,147334174.89553028,151620696.485306,143904942.14073876,1,147112959.41003397,BH
10,2010-03-29,10603.981270060114,0.0,10603.981270060114,147334174.89553028,155131557.06091234,157091134.66278762,146640165.20497224,0,147112959.41003397,SH
11,2010-03-30,10603.981270060114,0.0,10603.981270060114,155131557.06091234,148722176.0,155131557.06091234,148926294.77847585,0,0.0,
12,2010-03-31,10603.981270060114,0.0,10603.981270060114,148722176.0,150518451.5497124,148722176.0,148722176.0,0,0.0,
13,2010-04-01,10603.981270060114,0.0,10603.981270060114,150518451.5497124,141455515.09403107,150518451.5497124,144598957.25225964,0,0.0,
14,2010-04-05,10786.473014711102,0.0,10786.473014711102,141455515.09403107,137781333.33333334,151702364.81657127,139700078.68738076,0,143965510.50832507,BLC
15,2010-04-06,10786.473014711102,0.0,10786.473014711102,137781333.33333334,138271233.22311112,137781333.33333334,135291063.30864197,0,0.0,
16,2010-04-07,3577.5130147111026,7198.163341643058,10775.67635635416,138271233.22311112,139740882.9244713,139332659.8731852,136189204.02488887,1,139281859.0802916,BM
17,2010-04-08,10745.335869574117,0.0,10745.335869574117,139740882.9244713,137577236.16312462,140189947.98791543,134311278.06646526,0,139281859.0802916,SLLC
18,2010-04-09,-26.874130425882413,10756.073120316789,10729.198989890907,137577236.16312462,140843120.93023255,145088871.60941985,137577236.16312462,1,140066984.51812315,BH
19,2010-04-12,10707.8341099969,0.0,10707.8341099969,140843120.93023255,136107517.42455712,140843120.93023255,140394055.90697676,0,140066984.51812315,SHC
20,2010-04-13,10707.8341099969,0.0,10707.8341099969,136107517.42455712,134066343.2749922,136107517.42455712,130228848.40562002,0,0.0,
21,2010-04-14,10707.8341099969,0.0,10707.8341099969,134066343.2749922,122227338.79642218,134311287.8729368,131086184.0,0,0.0,
22,2010-04-15,10707.8341099969,0.0,10707.8341099969,122227338.79642218,113490993.17919075,122227338.79642218,113613454.86654739,0,0.0,
23,2010-04-16,10707.8341099969,0.0,10707.8341099969,113490993.17919075,115450524.34158245,114960660.716763,111082371.38150291,0,0.0,
24,2010-04-19,-26.76589000309923,10718.533598360347,10691.767708357249,115450524.34158245,120145325.60566229,120349415.04914604,115450524.34158245,1,117117984.12916458,BH
25,2010-04-20,10886.51421091859,0.0,10886.51421091859,120145325.60566229,117246803.5499118,127942728.66059992,118471537.51533537,0,117117984.12916458,SLLC
26,2010-04-21,10886.51421091859,0.0,10886.51421091859,117246803.5499118,112266262.17228463,118553174.62010582,115654663.80811287,0,0.0,
27,2010-04-22,-27.21578908140873,10897.386708667958,10870.17091958655,112266262.17228463,123492883.14442414,122676406.48280558,112266262.17228463,1,113538597.91432102,BH
28,2010-04-23,11736.848903952257,0.0,11736.848903952257,123492883.14442414,114511600.3969129,126758810.63254112,111653896.0,0,113538597.91432102,SLLC
29,2010-04-26,11736.848903952257,0.0,11736.848903952257,114511600.3969129,108183879.56043954,116062916.19551635,111082376.0,0,0.0,
30,2010-04-27,-29.341096047742212,11748.572468267937,11719.231372220194,108183879.56043954,114307461.33333334,111449808.0,108143055.45494506,1,110284769.3381673,BH
31,2010-04-28,12056.608497531895,0.0,12056.608497531895,114307461.33333334,116756906.84438519,122472280.0,112919442.16,0,110284769.3381673,SLLC
32,2010-04-29,-30.15150246810481,12068.647001186602,12038.495498718497,116756906.84438519,124350196.55367231,125738207.37087636,115940424.97834057,1,120693569.33751947,BH
33,2010-04-30,12311.053536830812,0.0,12311.053536830812,124350196.55367231,118389873.7038187,124350196.55367231,113082746.04519774,0,120693569.33751947,SLLC
34,2010-05-03,-30.796463169188428,12323.357751923606,12292.561288754418,118389873.7038187,126840469.0820996,131494408.0,118389873.7038187,1,123012856.89726876,BH
