,Day,Cash,Portfolio,Total,Open,Close,High,Low,Buy sign,Target price,Tag,MDD
0,2006-06-28,36.36000000000058,9963.275,9999.635,8300,8600,8600,8300,1,0,0,0
1,2006-06-29,10460.3805935376,0.0,10460.3805935376,8760,8725,8760,8725,0,0,0,0
2,2006-06-30,10460.3805935376,0.0,10460.3805935376,9030,8960,9030,8860,0,0,0,0
3,2006-07-03,10460.3805935376,0.0,10460.3805935376,9050,9020,9050,8950,0,0,0,0
4,2006-07-04,10460.3805935376,0.0,10460.3805935376,9050,8990,9110,8970,0,0,0,0
5,2006-07-05,10460.3805935376,0.0,10460.3805935376,8865,9010,9070,8865,0,0,0,0
6,2006-07-06,10460.3805935376,0.0,10460.3805935376,9050,8950,9050,8850,0,0,0,0
7,2006-07-07,10460.3805935376,0.0,10460.3805935376,9055,9030,9055,9000,0,0,0,0
8,2006-07-10,10460.3805935376,0.0,10460.3805935376,9000,9160,9160,8920,0,0,0,0
9,2006-07-11,64.00059353760116,10395.999999999998,10460.0005935376,9120,9300,9300,9100,1,0,0,0
10,2006-07-12,10572.618107973598,0.0,10572.618107973598,9300,9340,9370,9205,0,0,0,0
11,2006-07-13,10.13810797359838,10562.099999999999,10572.238107973597,9230,9330,9365,9230,1,0,0,0
12,2006-07-14,10645.950992838396,0.0,10645.950992838396,9330,9200,9330,9095,0,0,0,0
13,2006-07-18,10645.950992838396,0.0,10645.950992838396,8320,8985,9100,8320,0,0,0,0
14,2006-07-19,10645.950992838396,0.0,10645.950992838396,8985,9050,9050,8950,0,0,0,0
15,2006-07-20,10645.950992838396,0.0,10645.950992838396,9240,9155,9240,9065,0,0,0,0
16,2006-07-21,10645.950992838396,0.0,10645.950992838396,8800,9140,9140,8800,0,0,0,0
17,2006-07-24,10645.950992838396,0.0,10645.950992838396,9100,9140,9140,9000,0,0,0,0
18,2006-07-25,10645.950992838396,0.0,10645.950992838396,9200,9210,9210,9170,0,0,0,0
19,2006-07-26,10645.950992838396,0.0,10645.950992838396,7045,7085,7085,6990,0,0,0,0
20,2006-07-27,19.560992838396487,10626.0,10645.560992838396,9240,9290,9295,9200,1,0,0,0
21,2006-07-28,10840.667133524395,0.0,10840.667133524395,7200,7040,7200,7010,0,0,0,0
22,2006-07-31,17.477133524394958,10822.8,10840.277133524394,9330,9470,9470,9330,1,0,0,0
23,2006-08-01,30.877316185193195,10971.0,11001.877316185193,9470,9540,9545,9240,1,0,0,0
24,2006-08-02,16.380108439192554,10927.2,10943.580108439193,6940,7110,7110,6920,1,0,0,0
25,2006-08-03,6.708973763792528,11305.0,11311.708973763793,9500,9470,9550,9430,1,0,0,0
26,2006-08-04,71.38751698379201,11239.5,11310.887516983792,9500,9500,9900,9370,1,0,0,0
27,2006-08-07,38.3652230957905,11360.2,11398.565223095791,7190,7220,7220,7190,1,0,0,0
28,2006-08-08,11421.85089467139,0.0,11421.85089467139,7205,7210,7210,7200,0,0,0,0
29,2006-08-09,25.690894671390197,11395.75,11421.44089467139,7210,7280,7325,7210,1,0,0,0
30,2006-08-10,4.352253320988893,11522.9,11527.252253320989,9445,9490,9490,9350,1,0,0,0
31,2006-08-11,71.47953561858776,11546.425,11617.904535618587,9520,9420,9950,9420,1,0,0,0
32,2006-08-14,11674.957200074186,0.0,11674.957200074186,7200,7170,7200,7170,0,0,0,0
33,2006-08-16,18.137200074186694,11656.400000000001,11674.537200074188,7240,7335,7335,7240,1,0,0,0
34,2006-08-17,34.275922032586095,11832.6,11866.875922032586,9620,9620,9740,9560,1,0,0,0
35,2006-08-18,10.297204648584739,12077.1,12087.397204648585,7410,7430,7515,7400,1,0,0,0
36,2006-08-21,74.61735170938482,12020.0,12094.617351709385,7460,7435,7555,7435,1,0,0,0
37,2006-08-22,51.73943503738337,12054.0,12105.739435037383,9800,9880,9980,9700,1,0,0,0
38,2006-08-23,38.712284501181784,12023.1,12061.812284501182,9765,9985,9985,9730,1,0,0,0
39,2006-08-24,11994.277133925181,0.0,11994.277133925181,9800,9720,9805,9600,0,0,0,0
40,2006-08-25,49.0471339251817,11944.800000000001,11993.847133925183,7560,7570,7590,7515,1,0,0,0
41,2006-08-28,12040.810665813982,0.0,12040.810665813982,7590,7560,7590,7515,0,0,0,0
42,2006-08-29,5.070665813982487,12035.3,12040.370665813982,9860,10000,10000,9860,1,0,0,0
43,2006-08-30,12326.622194301983,0.0,12326.622194301983,7580,7600,7620,7560,0,0,0,0
44,2006-08-31,95.67219430198202,12230.5,12326.172194301982,10025,10270,10270,10025,1,0,0,0
45,2006-09-01,12783.210401853981,0.0,12783.210401853981,7850,7880,7880,7790,0,0,0,0
46,2006-09-04,6.290401853981166,12776.449999999999,12782.74040185398,10450,10495,10900,10365,1,0,0,0
47,2006-09-05,12815.824169093981,0.0,12815.824169093981,8150,7935,8150,7925,0,0,0,0
48,2006-09-06,78.56416909398104,12736.8,12815.36416909398,10440,10435,10500,10395,1,0,0,0
49,2006-09-07,37.699249831581255,12264.375,12302.074249831581,7890,7860,7940,7860,1,0,0,0
50,2006-09-08,25.816401501580913,12178.499999999998,12204.31640150158,10400,10630,10630,10370,1,0,0,0
51,2006-09-11,12249.871478599578,0.0,12249.871478599578,7855,7765,7855,7755,0,0,0,0
52,2006-09-12,81.0314785995779,12168.4,12249.431478599578,10490,10450,10550,10350,1,0,0,0
53,2006-09-13,45.33606435157708,12272.8,12318.136064351576,10550,10550,10630,10500,1,0,0,0
54,2006-09-14,103.85107229717505,12166.999999999998,12270.851072297173,10540,10600,10640,10500,1,0,0,0
55,2006-09-15,0.15740505717258202,12292.800000000001,12292.957405057174,7880,7980,7980,7880,1,0,0,0
56,2006-09-18,1.7531829771705816,12477.5,12479.25318297717,8000,8105,8105,8000,1,0,0,0
57,2006-09-19,12719.04030774817,0.0,12719.04030774817,11110,11120,11150,10950,0,0,0,0
58,2006-09-20,1.5803077481705259,12717.0,12718.58030774817,8100,8150,8150,8020,1,0,0,0
59,2006-09-21,12796.61460273017,0.0,12796.61460273017,11065,10760,11065,10680,0,0,0,0
60,2006-09-22,12796.61460273017,0.0,12796.61460273017,10690,10455,10690,10455,0,0,0,0
61,2006-09-25,77.15460273017015,12719.0,12796.15460273017,7900,7935,7945,7875,1,0,0,0
62,2006-09-26,40.07684054216952,11789.225,11829.30184054217,7300,7790,7935,7300,1,0,0,0
63,2006-09-27,80.37391981816836,12677.775,12758.148919818168,10400,10580,10590,10400,1,0,0,0
64,2006-09-28,12905.907104722168,0.0,12905.907104722168,10600,10660,10670,10600,0,0,0,0
65,2006-09-29,73.43710472216844,12832.0,12905.437104722168,8020,8050,8050,7975,1,0,0,0
66,2006-10-02,48.50094475416881,12832.0,12880.500944754169,8005,8075,8100,8005,1,0,0,0
67,2006-10-04,12896.033328946169,0.0,12896.033328946169,10700,10540,10700,10500,0,0,0,0
68,2006-10-09,55.36332894616862,12840.2,12895.56332894617,10355,10195,10535,8960,1,0,0,0
69,2006-10-10,12578.907505442168,0.0,12578.907505442168,10100,10040,10140,9940,0,0,0,0
70,2006-10-11,91.65750544216826,12486.8,12578.457505442168,10050,10100,10100,9980,1,0,0,0
71,2006-10-12,10.556420697366775,12474.0,12484.556420697367,7700,7700,7710,7680,1,0,0,0
72,2006-10-13,97.36649738296728,12823.65,12921.016497382967,10100,10400,10400,10100,1,0,0,0
73,2006-10-16,40.90497830296772,13285.5,13326.404978302968,7815,7810,7870,7790,1,0,0,0
74,2006-10-17,13317.421748610966,0.0,13317.421748610966,10540,10500,10560,10425,0,0,0,0
75,2006-10-18,94.54174861096726,13222.4,13316.941748610967,10320,10500,10510,10320,1,0,0,0
76,2006-10-19,8.74839355176664,13640.0,13648.748393551767,7750,7740,7765,7740,1,0,0,0
77,2006-10-20,72.0325926813639,13558.125,13630.157592681364,7740,7765,7790,7740,1,0,0,0
78,2006-10-23,27.28801653636401,13632.5,13659.788016536364,7765,7745,7850,7720,1,0,0,0
79,2006-10-24,13580.544714251364,0.0,13580.544714251364,7745,7785,7785,7745,0,0,0,0
80,2006-10-25,27.554714251364203,13552.499999999998,13580.054714251362,9750,10190,10245,9750,1,0,0,0
81,2006-10-26,-0.42979052343798685,14163.25,14162.820209476562,7825,7830,7880,7825,1,0,0,0
82,2006-10-27,14189.45373567816,0.0,14189.45373567816,7840,7730,7840,7705,0,0,0,0
83,2006-10-30,81.89373567816074,14107.05,14188.94373567816,10005,9950,10040,9945,1,0,0,0
84,2006-10-31,56.193117996159344,14054.175,14110.368117996159,9950,10200,10200,9950,1,0,0,0
85,2006-11-01,15.06299225715884,14880.3,14895.362992257158,7710,7795,7795,7670,1,0,0,0
86,2006-11-02,47.67789664435804,14943.1,14990.777896644358,10235,10245,10275,10200,1,0,0,0
87,2006-11-03,17.383230504357925,14994.199999999999,15011.583230504357,10250,10290,10320,10245,1,0,0,0
88,2006-11-06,58.78590745635847,14995.5,15054.285907456358,7680,7580,8490,7500,1,0,0,0
89,2006-11-07,14878.246518736358,0.0,14878.246518736358,7600,7580,7625,7580,0,0,0,0
90,2006-11-08,2.5065187363579753,14875.199999999999,14877.706518736357,10330,10275,10355,10250,1,0,0,0
91,2006-11-09,85.12429274915667,14539.525,14624.649292749156,10155,10340,10340,10155,1,0,0,0
92,2006-11-10,14899.385093288356,0.0,14899.385093288356,7700,7675,7715,7670,0,0,0,0
93,2006-11-13,62.5950932883552,14836.25,14898.845093288355,10370,10480,10480,10360,1,0,0,0
94,2006-11-14,88.89600503435395,15059.099999999999,15147.996005034352,10550,10650,10650,10550,1,0,0,0
95,2006-11-15,15353.340420094353,0.0,15353.340420094353,7940,7740,7940,7725,0,0,0,0
96,2006-11-16,51.78042009435376,15301.0,15352.780420094354,10700,10705,10750,10675,1,0,0,0
97,2006-11-17,15352.223524898352,0.0,15352.223524898352,7750,7700,7750,7675,0,0,0,0
98,2006-11-20,15352.223524898352,0.0,15352.223524898352,7795,7565,7795,7545,0,0,0,0
99,2006-11-21,15352.223524898352,0.0,15352.223524898352,7685,7430,7685,7400,0,0,0,0
100,2006-11-22,21.66352489835299,15330.0,15351.663524898353,10500,10625,10625,10500,1,0,0,0
101,2006-11-23,15453.301854547151,0.0,15453.301854547151,7490,7430,7490,7400,0,0,0,0
102,2006-11-24,72.64185454715152,15380.099999999999,15452.74185454715,7430,7450,7450,7405,1,0,0,0
103,2006-11-27,50.80680664714782,15545.699999999999,15596.506806647147,7500,7555,7555,7500,1,0,0,0
104,2006-11-28,15740.835731569545,0.0,15740.835731569545,7580,7555,7580,7490,0,0,0,0
105,2006-11-29,66.465731569544,15673.8,15740.265731569543,10380,10385,10410,10320,1,0,0,0
106,2006-11-30,42.674718365142326,15711.55,15754.224718365142,10390,10700,10700,10390,1,0,0,0
107,2006-12-01,45.09364550533974,16236.449999999999,16281.543645505339,7660,7620,8465,7530,1,0,0,0
108,2006-12-04,13.718463338138463,16108.4,16122.118463338138,10460,10410,10470,10400,1,0,0,0
109,2006-12-05,16221.628538772138,0.0,16221.628538772138,7600,7505,7600,7490,0,0,0,0
110,2006-12-06,16221.628538772138,0.0,16221.628538772138,7505,7335,7505,7265,0,0,0,0
111,2006-12-07,2.3385387721373263,16218.7,16221.038538772138,10265,10210,10285,10205,1,0,0,0
112,2006-12-08,16038.754856120137,0.0,16038.754856120137,7400,7100,7400,7075,0,0,0,0
113,2006-12-11,0.17485612013661012,16038.000000000002,16038.174856120138,9900,9985,10070,9900,1,0,0,0
114,2006-12-12,16199.585240920138,0.0,16199.585240920138,7150,7105,7150,7075,0,0,0,0
115,2006-12-13,98.9952409201378,16100.000000000002,16198.99524092014,10000,10000,10020,9850,1,0,0,0
116,2006-12-14,81.7160424543381,16204.650000000001,16286.36604245434,10055,10220,10220,10000,1,0,0,0
117,2006-12-15,50.71717539113888,16484.0,16534.71717539114,10220,10265,10325,10220,1,0,0,0
118,2006-12-18,68.89824281513575,16436.625,16505.523242815136,10285,10210,10350,10200,1,0,0,0
119,2006-12-19,38.153053567737516,16382.7,16420.85305356774,7470,7475,8175,6400,1,0,0,0
120,2006-12-20,7.369565833338129,16336.0,16343.369565833338,10200,10265,10300,10200,1,0,0,0
121,2006-12-21,16518.768595081336,0.0,16518.768595081336,7490,7490,7515,7445,0,0,0,0
122,2006-12-22,96.16859508133712,16422.0,16518.168595081337,10200,10145,10240,10145,1,0,0,0
123,2006-12-26,62.786759725337106,16293.2,16355.986759725338,10100,10030,10175,10000,1,0,0,0
124,2006-12-27,1.2287332107371185,16216.725,16217.953733210737,10035,10180,10210,10035,1,0,0,0
125,2006-12-28,66.22517834273458,16516.800000000003,16583.025178342737,7420,7515,7515,7405,1,0,0,0
126,2007-01-02,34.1960528679374,16492.125,16526.321052867937,7415,7580,7580,7415,1,0,0,0
127,2007-01-03,16774.336756530938,0.0,16774.336756530938,10390,10240,10390,10230,0,0,0,0
128,2007-01-04,16774.336756530938,0.0,16774.336756530938,10230,10195,10230,10130,0,0,0,0
129,2007-01-05,61.32675653093975,16712.399999999998,16773.726756530938,7330,7220,7345,7160,1,0,0,0
130,2007-01-08,88.92762013733591,16432.8,16521.727620137335,10020,10050,10050,9920,1,0,0,0
131,2007-01-09,63.131621078937314,16400.0,16463.131621078937,9985,9945,10050,9945,1,0,0,0
132,2007-01-10,16380.537711150935,0.0,16380.537711150935,9950,9750,9950,9690,0,0,0,0
133,2007-01-11,29.33771115093441,16350.599999999999,16379.937711150933,6870,6900,6955,6870,1,0,0,0
134,2007-01-12,65.84001603893557,16384.3,16450.140016038935,6900,6925,6980,6900,1,0,0,0
135,2007-01-15,6.845196210932045,16400.8,16407.64519621093,9880,10000,10000,9880,1,0,0,0
136,2007-01-16,7.128001742930792,16681.5,16688.62800174293,10050,10015,10190,9995,1,0,0,0
137,2007-01-17,16803.51665813093,0.0,16803.51665813093,10180,9810,10180,9775,0,0,0,0
138,2007-01-18,-0.5433418690699909,16803.45,16802.90665813093,6915,6930,6940,6900,1,0,0,0
139,2007-01-19,17737.81102948693,0.0,17737.81102948693,9520,9310,9520,9305,0,0,0,0
140,2007-01-22,37.271029486928455,17699.899999999998,17737.171029486926,6730,6775,6840,6700,1,0,0,0
141,2007-01-23,18394.002893556524,0.0,18394.002893556524,9300,9190,9315,9150,0,0,0,0
142,2007-01-24,19.83289355652596,18373.5,18393.332893556526,6805,6860,6890,6805,1,0,0,0
143,2007-01-25,18649.154836076526,0.0,18649.154836076526,9725,9400,9725,9400,0,0,0,0
144,2007-01-26,18649.154836076526,0.0,18649.154836076526,9400,9315,9400,9250,0,0,0,0
145,2007-01-29,48.47483607652612,18600.0,18648.474836076526,9300,9135,9350,9130,1,0,0,0
146,2007-01-30,52.04988115652668,18265.1,18317.149881156525,6790,6770,6810,6735,1,0,0,0
147,2007-01-31,85.08454447652548,18795.6,18880.684544476524,9080,8950,9120,8950,1,0,0,0
148,2007-02-01,14.073096709122183,18792.8,18806.87309670912,6760,6825,6830,6760,1,0,0,0
149,2007-02-02,52.79152539432107,18961.199999999997,19013.991525394318,6835,6965,6985,6835,1,0,0,0
150,2007-02-05,19275.49187052792,0.0,19275.49187052792,9385,9435,9450,9320,0,0,0,0
151,2007-02-06,19275.49187052792,0.0,19275.49187052792,9565,9440,9565,9390,0,0,0,0
152,2007-02-07,65.1918705279204,19209.6,19274.79187052792,6960,7045,7085,6960,1,0,0,0
153,2007-02-08,19619.08016130632,0.0,19619.08016130632,9540,9460,9565,9410,0,0,0,0
154,2007-02-09,48.3201613063211,19570.05,19618.37016130632,7060,7060,7075,7020,1,0,0,0
155,2007-02-12,51.39839385112282,19551.7,19603.098393851124,9205,9250,9270,9160,1,0,0,0
156,2007-02-13,28.57428249352597,19642.0,19670.574282493526,7015,7000,7020,6950,1,0,0,0
157,2007-02-14,20.149901805525587,19635.0,19655.149901805526,7010,7095,7140,7010,1,0,0,0
158,2007-02-15,22.806349325524934,19875.899999999998,19898.706349325523,9465,9485,9555,9455,1,0,0,0
159,2007-02-16,16.714087083724735,19849.199999999997,19865.914087083722,7110,7225,7225,7110,1,0,0,0
160,2007-02-20,1.8390079905220773,20210.1,20211.93900799052,7265,7360,7360,7235,1,0,0,0
161,2007-02-21,17.4096742049187,20296.550000000003,20313.95967420492,7360,7395,7450,7360,1,0,0,0
162,2007-02-22,43.90974190412089,20576.800000000003,20620.709741904124,7520,7380,7620,7370,1,0,0,0
163,2007-02-23,77.64914315852002,20038.4,20116.04914315852,9920,9850,9950,9810,1,0,0,0
164,2007-02-26,20024.42313394852,0.0,20024.42313394852,9875,9835,9875,9775,0,0,0,0
165,2007-02-27,58.6431339485207,19965.05,20023.69313394852,9835,9750,9845,9715,1,0,0,0
166,2007-02-28,47.13266341371855,18706.449999999997,18753.582663413716,9210,9780,9780,9210,1,0,0,0
167,2007-03-02,30.69229558371444,19807.5,19838.192295583714,6950,7020,7065,6950,1,0,0,0
168,2007-03-05,28.65656824371399,19665.6,19694.256568243713,9640,9535,9740,9510,1,0,0,0
169,2007-03-06,11.237872610912746,19487.8,19499.037872610912,6955,7020,7035,6955,1,0,0,0
170,2007-03-07,39.817582833307824,19485.6,19525.417582833306,7020,7085,7095,7020,1,0,0,0
171,2007-03-08,5.779389465304121,19490.625,19496.404389465304,7050,7085,7090,7000,1,0,0,0
172,2007-03-09,41.20875756530222,19488.15,19529.358757565304,9800,9870,9935,9790,1,0,0,0
173,2007-03-12,6.400999328499893,19754.175,19760.5759993285,9960,10030,10030,9960,1,0,0,0
174,2007-03-13,19764.781847124897,0.0,19764.781847124897,7100,7050,7100,7045,0,0,0,0
175,2007-03-14,54.0618471248963,19710.0,19764.061847124896,9845,9860,9860,9780,1,0,0,0
176,2007-03-15,37.62411800489281,19735.0,19772.624118004893,9860,9865,9935,9860,1,0,0,0
177,2007-03-16,60.26566096489114,19715.925,19776.19066096489,9870,9900,9950,9865,1,0,0,0
178,2007-03-19,78.62862336889157,19681.2,19759.828623368892,9900,10000,10000,9890,1,0,0,0
179,2007-03-20,78.6879825688884,19798.5,19877.18798256889,10000,10030,10080,10000,1,0,0,0
180,2007-03-21,97.96743437969053,19502.0,19599.96743437969,9910,10050,10155,9910,1,0,0,0
181,2007-03-22,20010.842658994086,0.0,20010.842658994086,6980,6950,6980,6950,0,0,0,0
182,2007-03-23,34.91265899408609,19975.2,20010.112658994087,6960,6900,6970,6900,1,0,0,0
183,2007-03-26,17.35668618008276,19962.6,19979.95668618008,10290,10270,10390,10270,1,0,0,0
184,2007-03-27,45.71153955527916,19894.0,19939.71153955528,6860,6930,6950,6860,1,0,0,0
185,2007-03-28,88.4495614012776,20067.3,20155.749561401277,10110,10165,10290,10110,1,0,0,0
186,2007-03-29,11.287390348476038,20192.5,20203.787390348476,10160,10260,10260,10100,1,0,0,0
187,2007-03-30,8.961747117275081,20213.05,20222.011747117274,7020,7095,7095,7020,1,0,0,0
188,2007-04-02,41.79893549486951,20100.1,20141.898935494868,7040,7370,7400,7040,1,0,0,0
189,2007-04-03,95.27403715886976,20961.0,21056.27403715887,10275,10345,10350,10260,1,0,0,0
190,2007-04-04,17.235943254068843,21180.3,21197.535943254068,10345,10490,10505,10345,1,0,0,0
191,2007-04-05,12.077083412470529,21403.2,21415.27708341247,7280,7235,7405,7210,1,0,0,0
192,2007-04-06,45.70290773606757,21235.725000000002,21281.42790773607,7235,7210,7350,7210,1,0,0,0
193,2007-04-09,22.909747508067085,21264.249999999996,21287.159747508063,10455,10560,10600,10455,1,0,0,0
194,2007-04-10,65.09916431586316,21403.2,21468.299164315864,7280,7235,7285,7235,1,0,0,0
195,2007-04-11,56.188033363861905,21469.35,21525.53803336386,7300,7320,7355,7290,1,0,0,0
196,2007-04-12,71.3263673906622,21460.0,21531.326367390662,10655,10845,10845,10655,1,0,0,0
197,2007-04-13,54.163853390658915,21515.6,21569.763853390657,7220,7240,7300,7220,1,0,0,0
198,2007-04-16,21598.77968701226,0.0,21598.77968701226,10990,10995,11010,10930,0,0,0,0
199,2007-04-17,52.59968701225807,21545.4,21597.99968701226,7225,7205,7240,7165,1,0,0,0
200,2007-04-18,28.694197440254356,21329.35,21358.044197440253,7150,7195,7195,7150,1,0,0,0
201,2007-04-19,21439.21491176545,0.0,21439.21491176545,10910,10755,10910,10665,0,0,0,0
202,2007-04-20,10.934911765452853,21427.5,21438.434911765453,7140,7100,7170,7070,1,0,0,0
203,2007-04-23,35.341860725453444,21214.050000000003,21249.391860725456,7080,7035,7100,7010,1,0,0,0
204,2007-04-24,21712.052886435453,0.0,21712.052886435453,10755,10705,10755,10660,0,0,0,0
205,2007-04-25,87.1628864354534,21624.1,21711.262886435452,10705,10730,10835,10650,1,0,0,0
206,2007-04-26,19.384017693850183,21740.8,21760.18401769385,6880,6860,6915,6810,1,0,0,0
207,2007-04-27,21696.19503976425,0.0,21696.19503976425,10805,10800,10910,10780,0,0,0,0
208,2007-04-30,47.40503976424952,21648.0,21695.40503976425,6765,6800,6815,6705,1,0,0,0
209,2007-05-02,70.70840411624522,21863.1,21933.808404116244,10745,10805,10810,10720,1,0,0,0
210,2007-05-03,3.1300887928409793,22000.124999999996,22003.255088792837,10805,10785,10875,10780,1,0,0,0
