,Day,Cash,Portfolio,Total,Open,Close,High,Low,Buy sign,Target price,Tag
0,2008-05-06,1247.4700000000005,8746.408429,9993.878429,6.595,6.6664,6.6829,6.5064,1,667.1049999999999,none
1,2008-05-07,311.50000000000045,9681.721340999999,9993.221340999999,6.6446000000000005,6.5211,6.7214,6.4479,1,6.732850000000001,none
2,2008-05-08,77.83000000000044,9915.223672999999,9993.053672999999,6.5632,6.6093,6.6607,6.5382,1,6.69995,none
3,2008-05-09,19.460000000000438,9973.559056999999,9993.019057,6.5421,6.5518,6.5804,6.4775,1,6.60335,none
4,2008-05-12,7.331021097600431,9985.457442487326,9992.788463584926,6.6146,6.72,6.7454,6.5304,1,666.605,none
5,2008-05-13,7.331021097600431,10124.762466,10132.0934870976,6.7361,6.7843,6.8375,6.7093,1,684.36,none
6,2008-05-14,7.331021097600431,10265.298576,10272.629597097599,6.8296,6.6521,6.8657,6.6275,1,6.88088,none
7,2008-05-15,7.331021097600431,10028.115708,10035.446729097599,6.6718,6.7761,6.7821,6.5786,1,679.09,none
8,2008-05-16,7.331021097600431,10205.176175999999,10212.507197097599,6.7896,6.7007,6.7964,6.6786,1,6.85065,none
9,2008-05-19,9768.442666650602,19.261015999998943,9787.703682650601,6.7093,6.5571,6.7389,6.475,1,6.756419999999999,none
10,2008-05-20,1218.542666650602,8563.581091398228,9782.12375804883,6.4936,6.6393,6.6486,6.4329,1,662.5550000000001,none
11,2008-05-21,8540.664936397603,888.5252389999999,9429.190175397604,6.6311,6.3639,6.7125,6.2946,1,6.73895,none
12,2008-05-22,9409.177881466603,18.860527999999917,9428.038409466602,6.4021,6.3232,6.4761,6.1429,1,6.52747,none
13,2008-05-23,9409.177881466603,19.110055999999915,9428.287937466603,6.4561,6.4704,6.4996,6.35,1,6.55606,none
14,2008-05-27,1173.7578814666035,8249.169707041845,9422.927588508448,6.5268,6.6582,6.6582,6.495,1,660.16,none
15,2008-05-28,7161.918260947003,2412.2962120000007,9574.214472947004,6.6932,6.6789000000000005,6.7125,6.5614,0,6.74216,none
16,2008-05-29,1788.0182609470025,7737.806527964444,9525.824788911446,6.6696,6.6675,6.7214,6.625,1,6.745150000000001,none
17,2008-05-30,223.06826094700253,9301.670025964444,9524.738286911446,6.6946,6.7411,6.7693,6.6921,1,674.2800000000001,none
18,2008-06-02,27.898260947002537,9496.703643964443,9524.601904911446,6.7357,6.6464,6.7732,6.5904,1,677.4300000000001,none
19,2008-06-03,13.998260947002537,9510.597069964444,9524.595330911447,6.6736,6.6204,6.7214,6.5121,1,6.746720000000001,none
20,2008-06-04,7.038260947002537,9517.550694964444,9524.588955911448,6.5721,6.6139,6.6818,6.5439,1,667.6750000000001,none
21,2008-06-05,7.038260947002537,9491.82685,9498.865110947003,6.655,6.7654,6.7796,6.6321,1,672.395,none
22,2008-06-06,7.038260947002537,9576.404660999999,9583.442921947002,6.7143,6.63,6.7836,6.6268,1,678.8050000000001,none
23,2008-06-09,9125.581037787402,18.807544000000288,9144.388581787403,6.5989,6.4861,6.605,6.2771,1,6.64594,none
