,Day,Cash,Portfolio,Total,Open,Close,High,Low,Buy sign,Target price,Tag
0,2016-11-03,10000.0,0.0,10000.0,235.9,236.1,236.1,235.9,0,236.9503,none
1,2016-11-09,5000.13,4999.8697,9999.9997,246.053,242.999,246.299,242.999,1,246.13299999999998,none
2,2016-11-10,9606.2,0.0,9606.2,227.0,227.0,227.3,226.9,1,227.99,none
3,2016-11-14,4803.1900000000005,4803.008,9606.198,227.2,207.4,275.8,207.4,1,227.35999999999999,none
4,2016-11-16,9561.78286,0.0,9561.78286,225.03,225.163,227.3,224.428,1,245.55,none
5,2016-11-17,9561.78286,0.0,9561.78286,229.5,228.0,229.9,228.0,1,230.3616,none
6,2016-11-18,9561.78286,0.0,9561.78286,233.6,227.407,233.6,227.407,1,234.17,none
7,2016-11-21,9561.78286,0.0,9561.78286,232.2,228.403,232.2,227.592,1,234.0579,none
8,2016-11-22,4783.04286,4778.7376,9561.78046,228.108,229.747,230.2,228.1,1,229.9512,none
9,2016-11-23,9587.84286,0.0,9587.84286,231.0,231.0,231.0,231.0,0,231.63,none
10,2016-11-25,4796.152860000001,4791.68676,9587.83962,233.513,233.787,233.787,233.513,1,23351.3,none
11,2016-11-28,4800.834860000002,4799.05,9599.884860000002,234.1,233.8,234.1,233.8,1,234.2096,none
12,2016-11-29,7139.564860000002,2398.8180000000007,9538.382860000003,231.1,235.454,235.454,231.1,1,231.22,none
13,2016-12-01,9402.664360000002,3.872901999102396e-13,9402.664360000002,217.601,218.44,218.44,217.4,1,218.9072,none
14,2016-12-02,9402.664360000002,3.7611513903357265e-13,9402.664360000002,211.734,211.1,211.734,211.1,1,212.046,none
15,2016-12-05,4702.654360000002,4700.01346,9402.667820000002,217.694,216.966,217.694,216.966,1,217.9476,none
16,2016-12-06,9666.195360000002,8.167688747562352e-13,9666.195360000002,229.9,213.2,260.9,213.2,0,230.1184,none
17,2016-12-08,9666.195360000002,7.858602657506708e-13,9666.195360000002,221.2,221.86,221.86,221.2,0,235.51,none
18,2016-12-13,4834.995360000002,4831.200000000001,9666.195360000002,220.0,218.041,220.0,217.3,1,220.264,none
19,2016-12-14,9447.232200000002,7.461729012447904e-13,9447.232200000002,209.6,210.029,210.029,209.6,1,210.41,none
20,2016-12-15,4725.462200000002,4721.773590000002,9447.235790000002,201.699,201.699,201.699,201.699,1,201.87060000000002,none
21,2016-12-16,4653.5992000000015,4653.198,9306.7972,198.6,197.3,200.301,195.7,1,19860.0,none
22,2016-12-20,9249.253120000001,6.968434718146455e-13,9249.253120000001,196.144,196.144,196.144,196.144,1,197.5243,none
23,2016-12-27,4625.283120000001,4623.966000000001,9249.249120000002,197.1,199.1,200.406,197.1,1,19710.0,none
24,2016-12-30,9279.489060000002,7.048193140235526e-13,9279.489060000002,198.389,198.2,198.389,198.2,1,199.38080000000002,none
25,2017-01-03,4640.179060000001,4639.306000000001,9279.485060000003,203.3,203.3,203.3,203.3,1,203.37560000000002,none
26,2017-01-04,4662.76224,4662.340290000001,9325.10253,205.299,205.299,205.299,205.299,1,20529.9,none
27,2017-01-05,4811.20795,4809.171030000001,9620.378980000001,218.301,221.1,221.1,218.301,1,21830.1,none
28,2017-01-09,9736.49911,7.942873025967856e-13,9736.49911,223.572,223.572,223.572,223.572,0,224.4117,none
29,2017-01-11,9736.49911,8.110845328701544e-13,9736.49911,228.3,228.851,228.851,228.3,0,228.3,none
30,2017-01-12,4870.089110000001,4866.411000000001,9736.50011,221.1,221.1,221.1,221.1,1,221.32039999999998,none
31,2017-01-19,9459.372200000002,7.407727764530136e-13,9459.372200000002,215.1,208.509,215.309,208.509,1,215.1,none
32,2017-01-24,9459.372200000002,8.402167850363185e-13,9459.372200000002,236.5,237.599,237.599,236.5,1,238.54,none
33,2017-01-25,9459.372200000002,8.523102223989554e-13,9459.372200000002,239.904,239.2,239.904,239.0,1,240.2337,none
34,2017-01-26,4730.512200000002,4728.8640000000005,9459.376200000002,238.35,237.6,238.35,237.6,1,238.7116,none
35,2017-01-30,6948.678200000002,2302.073000000001,9250.751200000002,237.0,230.9,237.0,230.9,1,237.3,none
36,2017-01-31,9249.754200000003,4.0998315853357783e-13,9249.754200000003,230.8,235.74,235.74,230.8,1,232.63,none
37,2017-02-01,9249.754200000003,4.2508219166847996e-13,9249.754200000003,239.3,239.3,239.3,239.3,1,240.782,none
38,2017-02-02,4626.134200000003,4623.6212,9249.755400000002,236.14,236.14,236.14,236.14,1,23614.0,none
39,2017-02-10,4806.824620000003,4802.39613,9609.220750000004,254.499,254.499,254.499,254.499,1,25449.899999999998,none
40,2017-02-13,4829.973820000004,4829.464800000001,9659.438620000004,257.16,257.16,257.16,257.16,1,25716.000000000004,none
41,2017-02-14,7189.942540000004,2406.55428,9596.496820000004,254.792,254.124,255.0,254.124,1,25479.2,none
42,2017-02-17,3595.0225400000036,6022.574546230089,9617.597086230093,259.0,259.0,259.0,259.0,1,259.3504,none
43,2017-02-21,3629.2866600000034,6067.046462111304,9696.333122111308,263.599,262.2,263.599,262.2,1,26359.899999999998,none
44,2017-02-22,7361.036660000003,2570.1579999999994,9931.194660000003,271.4,269.6,271.4,269.424,0,271.81969999999995,none
45,2017-02-23,7361.036660000003,2485.8749999999995,9846.911660000003,262.5,260.599,262.5,260.599,0,263.0928,none
46,2017-02-24,3682.7266600000034,6152.687183522568,9835.413843522572,252.601,256.5,256.5,252.601,1,253.3614,none
47,2017-02-27,7436.954660000003,2445.1539999999995,9882.108660000002,258.2,257.901,258.2,257.901,0,259.36969999999997,none
48,2017-03-01,3720.2546600000032,6143.438677549302,9863.693337549306,265.1,266.3,266.3,265.1,1,265.2196,none
49,2017-03-03,7375.268660000003,2468.8289999999997,9844.097660000003,260.7,260.7,260.7,260.7,1,261.06,none
50,2017-03-08,3689.968660000003,6162.029002826389,9851.997662826392,269.0,272.301,272.301,269.0,1,26900.0,none
51,2017-03-09,7313.632360000003,2504.8244699999996,9818.456830000003,264.501,263.1,264.501,263.1,1,265.49129999999997,none
52,2017-03-13,7313.632360000003,2553.112,9866.744360000004,269.6,279.9,280.262,269.6,1,270.0203,none
53,2017-03-14,7313.632360000003,2646.865,9960.497360000003,279.5,278.125,279.5,277.81,1,282.6986,none
54,2017-03-15,3659.2623600000034,6172.90107781467,9832.163437814674,277.5,278.322,278.6,277.359,1,278.176,none
55,2017-03-16,1865.842360000004,8174.601433933845,10040.44379393385,289.0,289.8,290.4,288.9,1,289.6205,none
56,2017-03-17,1865.842360000004,8285.76,10151.602360000004,288.0,288.0,288.0,288.0,1,288.45,none
57,2017-03-20,2833.769360000004,7347.7762158341375,10181.545575834141,295.1,293.1,295.4,293.1,1,29510.000000000004,none
58,2017-03-21,7565.731360000003,2746.3000000000006,10312.031360000004,303.4,280.0,303.4,280.0,0,304.09,none
59,2017-03-22,7565.731360000003,2649.7060000000006,10215.437360000004,279.8,281.5,281.5,275.501,0,286.82,none
60,2017-03-24,7565.731360000003,2765.2305300000007,10330.961890000004,291.999,286.8,291.999,286.8,0,293.79870000000005,none
61,2017-03-27,7565.731360000003,2715.2099900000007,10280.941350000005,286.717,286.717,286.717,286.717,0,288.2767,none
62,2017-03-30,3782.9913600000036,6512.568905608054,10295.560265608057,289.2,287.841,289.2,287.841,1,28920.0,none
63,2017-03-31,7527.795360000004,2711.2610000000013,10239.056360000006,286.3,290.2,290.2,286.3,1,286.7077,none
64,2017-04-03,7527.795360000004,2751.678960000001,10279.474320000005,290.568,290.568,290.568,290.568,1,291.738,none
65,2017-04-04,3764.0853600000037,6498.700134638948,10262.785494638953,294.5,289.799,294.5,289.799,1,29450.0,none
66,2017-04-06,7460.048580000004,2738.714530000001,10198.763110000005,289.2,289.199,289.2,289.199,1,290.6103,none
67,2017-04-07,3731.878580000004,6494.133267866556,10226.01184786656,286.122,288.3,288.3,286.122,1,286.1224,none
68,2017-04-10,948.9385800000039,9347.070535408726,10296.00911540873,294.0,294.8,322.502,289.7,1,29508.9,none
69,2017-04-11,5680.738580000004,4684.6,10365.338580000003,295.0,295.0,295.0,295.0,1,304.8406,none
70,2017-04-12,4703.985580000004,5593.068,10297.053580000003,290.7,287.46,290.7,287.46,1,29070.0,none
71,2017-04-13,7512.860580000004,2722.625000000001,10235.485580000004,287.5,290.425,290.9,287.5,1,288.472,none
72,2017-04-17,7512.860580000004,2792.7030000000004,10305.563580000005,294.9,286.474,294.9,286.474,1,295.91999999999996,none
73,2017-04-18,7512.860580000004,2684.745000000001,10197.605580000005,283.5,283.5,283.5,283.5,1,286.0278,none
74,2017-04-19,3758.400580000004,6519.865411460293,10278.265991460297,286.6,287.61,287.61,286.6,1,28660.000000000004,none
75,2017-04-20,1921.4636800000037,8492.098495863049,10413.562175863053,299.201,300.5,300.9,299.201,1,299.706,none
76,2017-04-21,5734.5396800000035,4716.564,10451.103680000004,297.2,303.699,303.8,297.2,1,297.7097,none
77,2017-04-24,7742.219680000004,2970.7390000000005,10712.958680000003,313.7,309.0,313.7,309.0,0,315.68,none
78,2017-04-25,7742.219680000004,3003.8840000000005,10746.103680000004,317.2,320.9,320.9,317.1,0,318.61,none
79,2017-04-26,7742.219680000004,3055.959530000001,10798.179210000006,322.699,319.4,324.299,318.1,0,323.839,none
