,Day,Cash,Portfolio,Total,Open,Close,High,Low,Buy sign,Target price,Tag
0,2013-04-12,10000.0,0.0,10000.0,37.76,37.95,37.95,37.76,0,37.844,none
1,2013-04-16,1247.4600000000003,8746.43,9993.890000000001,40.65,40.7,40.8,40.64,1,4074.5000000000005,none
2,2013-04-17,8945.085837499999,623.4874999999993,9568.573337499998,38.75,38.75,38.75,38.75,1,38.814,none
3,2013-04-18,5072.5676876299985,4472.1821,9544.749787629999,37.49,37.32,37.49,37.32,1,3749.0,none
4,2013-04-19,5072.5676876299985,4533.0199999999995,9605.587687629999,38.0,37.68,38.45,37.51,0,38.051,none
5,2013-04-22,5072.5676876299985,4659.4673999999995,9732.035087629998,39.06,39.41,39.41,39.06,0,39.342000000000006,none
6,2013-04-23,5072.5676876299985,4731.041399999999,9803.609087629997,39.66,39.44,39.66,39.44,0,39.76499999999999,none
7,2013-04-24,5072.5676876299985,4800.2296,9872.797287629997,40.24,40.24,40.24,40.24,0,40.306000000000004,none
8,2013-04-25,2534.6876876299984,7051.870531106868,9586.558218736867,42.16,42.64,42.64,41.97,1,4216.0,none
9,2013-04-26,2503.8512500299985,7193.390021349486,9697.241271379484,41.1,41.2,41.25,41.1,1,41.368,none
10,2013-04-29,2530.673285829999,7299.111788061216,9829.785073891215,42.2,42.0,42.2,42.0,1,42.260000000000005,none
11,2013-04-30,2577.3910591599993,7434.847284873522,10012.238344033522,43.81,44.02,44.16,43.81,1,43.89,none
12,2013-05-01,5191.27006216,5308.405000000001,10499.67506216,44.5,43.44,44.5,43.44,0,44.605,none
13,2013-05-02,5191.27006216,5222.516200000001,10413.78626216,43.78,43.78,43.78,43.78,0,44.098,none
14,2013-05-03,2593.9800621599998,7576.115165550415,10170.095227710415,44.99,45.35,45.7,44.99,1,4499.0,none
15,2013-05-06,2578.01801866,7686.097808037683,10264.115826697682,44.5,44.66,44.66,44.37,1,44.784,none
16,2013-05-07,5180.0161441,5377.593200000001,10557.609344100001,45.08,45.08,45.08,45.08,0,45.167,none
17,2013-05-08,2588.2361441,7768.58754146182,10356.82368556182,45.59,44.55,45.59,44.55,1,4559.0,none
18,2013-05-09,2588.2361441,7991.4180000000015,10579.6541441,45.38,45.38,45.38,45.38,1,45.69200000000001,none
19,2013-05-10,3634.17285069,6212.1241,9846.29695069,41.23,41.58,41.58,40.74,1,4123.0,none
20,2013-05-14,2486.5767058899996,7698.370879443709,10184.947585333708,42.8,43.05,43.05,42.36,1,43.135999999999996,none
21,2013-05-15,4943.905370889999,5069.825000000002,10013.73037089,42.5,42.45,42.5,42.1,1,42.707,none
22,2013-05-16,2470.625370889999,7655.507536629072,10126.132907519072,44.02,44.19,44.39,43.97,1,44.18,none
23,2013-05-17,2470.625370889999,7725.449800000002,10196.07517089,44.09,43.75,44.09,43.75,1,44.216,none
24,2013-05-20,4894.0525835299995,5172.414400000001,10066.466983530001,43.36,43.36,43.36,43.36,1,43.462,none
25,2013-05-21,2445.5125835299996,7658.711317683381,10104.22390121338,43.6,43.6,43.6,43.6,1,4360.0,none
26,2013-05-24,3576.4710412099994,6230.251800000001,9806.722841210001,41.98,41.54,41.98,41.3,1,4198.0,none
27,2013-05-29,4828.045525369999,5130.6629,9958.70842537,43.01,43.01,43.01,43.01,0,43.214,none
28,2013-05-30,2412.5755253699995,7593.6321073458685,10006.207632715868,43.25,44.7,44.84,43.25,1,4325.0,none
29,2013-05-31,4853.66926278,5221.323300000001,10074.99256278,43.77,43.79,43.79,43.77,1,44.24700000000001,none
30,2013-06-03,1212.1592627800003,8812.254396260929,10024.413659040929,44.87,45.49,45.49,44.87,1,44.879999999999995,none
31,2013-06-04,4756.4493218200005,5220.1304,9976.57972182,43.72,43.76,43.76,43.72,1,43.906,none
32,2013-06-06,2376.7193218200005,7623.906347142903,10000.625668962903,41.86,41.86,41.86,41.86,1,41.876,none
33,2013-06-07,3438.5190602700004,5918.159000000001,9356.678060270002,39.65,40.14,40.19,39.65,1,3965.0,none
34,2013-06-10,4629.89111565,4745.356200000001,9375.247315650002,39.78,38.88,39.78,37.96,1,39.942,none
35,2013-06-11,4629.89111565,4412.537100000001,9042.428215650001,36.99,36.99,36.99,36.99,1,37.536,none
36,2013-06-12,2313.41111565,7416.084572697031,9729.495688347031,37.64,36.68,37.64,36.68,1,3764.0,none
37,2013-06-13,2254.75078665,7149.336776298627,9404.087562948627,35.78,36.05,36.05,35.78,1,36.164,none
38,2013-06-14,4512.93275199,4307.561900000001,8820.49465199,36.11,35.11,36.11,35.11,0,36.190999999999995,none
39,2013-06-17,4512.93275199,4324.2625,8837.19525199,36.25,36.31,36.31,36.25,0,36.55,none
40,2013-06-18,2254.98275199,6945.676659562672,9200.659411552671,36.57,36.57,36.57,36.57,1,36.594,none
41,2013-06-19,3210.96292999,5159.231999999999,8370.194929989999,33.8,33.8,33.8,33.8,1,3379.9999999999995,none
42,2013-06-20,2622.98550679,5250.8192,7873.80470679,30.56,29.91,30.56,29.1,1,3056.0,none
43,2013-06-21,4193.58291847,3569.1567999999997,7762.739718469999,29.92,28.8,29.92,28.74,1,30.358,none
44,2013-06-24,4193.58291847,3312.6832999999997,7506.266218469999,27.77,27.76,27.77,26.5,1,28.124000000000002,none
45,2013-06-25,4193.58291847,3451.0597,7644.642618469999,28.93,28.7,28.93,28.55,1,29.311,none
46,2013-06-26,4193.58291847,3415.2726999999995,7608.855618469999,28.63,29.22,29.22,28.63,1,28.744,none
47,2013-06-27,4193.58291847,3629.9946999999997,7823.577618469999,30.43,32.05,32.16,30.43,1,30.607,none
48,2013-06-28,2095.3929184699996,6372.69416666079,8468.08708513079,32.21,32.7,32.7,31.95,1,32.902,none
49,2013-07-01,534.5473787099999,7890.559011400499,8425.106390110499,34.14,34.09,34.71,34.09,1,3451.5,none
50,2013-07-02,2077.4598825699995,6204.553442775581,8282.01332534558,33.37,32.5,33.75,32.5,1,33.617999999999995,none
51,2013-07-03,3990.9950696499996,3688.4468,7679.44186965,30.92,31.34,31.5,30.91,1,31.295,none
52,2013-07-05,3990.9950696499996,3629.9946999999997,7620.989769649999,30.43,30.22,30.43,29.62,1,30.607,none
53,2013-07-08,3990.9950696499996,3601.3651,7592.360169649999,30.19,30.13,30.19,30.13,1,30.433,none
54,2013-07-09,498.06506964999966,7574.702953629284,8072.768023279284,31.46,31.43,31.52,31.43,1,3149.0,none
55,2013-07-10,2715.2519594999994,4950.357999999998,7665.609959499998,31.39,31.36,31.39,31.15,1,31.426000000000002,none
56,2013-07-11,1912.0295342999993,6092.533594120165,8004.5631284201645,35.08,36.2,36.2,34.98,1,35.176,none
57,2013-07-12,4098.942822659999,4182.307399999998,8281.250222659997,35.06,34.82,35.06,34.62,0,35.426,none
58,2013-07-15,4098.942822659999,4265.810399999998,8364.753222659998,35.76,36.14,36.14,35.76,0,35.891999999999996,none
59,2013-07-16,2048.2328226599993,6048.93282650704,8097.165649167039,35.46,35.59,35.59,35.06,1,35.612,none
60,2013-07-17,4160.514989399999,4379.135899999998,8539.650889399996,36.71,36.63,36.71,36.63,0,36.869,none
61,2013-07-18,519.4249893999986,7718.252219534258,8237.677208934256,35.65,35.54,35.87,35.54,1,3569.0,none
62,2013-07-19,4112.760392649999,4204.972499999998,8317.732892649998,35.27,35.25,35.27,35.25,1,35.369,none
63,2013-07-22,2055.290392649999,6216.495301257304,8271.785693907303,35.05,35.63,35.63,35.05,1,35.058,none
64,2013-07-23,4205.433038489999,4375.5571999999975,8580.990238489996,36.68,37.69,37.69,36.47,0,36.854,none
65,2013-07-24,4205.433038489999,4531.827099999998,8737.260138489997,37.99,36.69,37.99,36.69,0,38.356,none
66,2013-07-25,4205.433038489999,4443.552499999998,8648.985538489997,37.25,37.86,37.86,37.25,0,37.64,none
67,2013-07-26,4205.433038489999,4500.8116999999975,8706.244738489997,37.73,38.74,38.74,37.73,0,37.913,none
68,2013-07-29,4205.433038489999,4485.303999999997,8690.737038489995,37.6,37.67,37.67,37.6,0,37.903000000000006,none
69,2013-07-30,524.9530384899986,7845.166157274423,8370.119195764422,38.2,37.69,38.2,37.69,1,3823.5,none
70,2013-07-31,4096.910316909998,4472.182099999998,8569.092416909996,36.98,37.49,37.49,36.98,1,37.132999999999996,none
71,2013-08-01,4096.910316909998,4626.0661999999975,8722.976516909996,38.78,38.63,38.78,38.63,1,38.933,none
72,2013-08-02,2047.030316909998,6389.729655477413,8436.759972387412,39.1,39.1,39.1,39.1,1,39.160000000000004,none
73,2013-08-05,3036.145740059998,5609.855,8646.000740059997,38.45,38.27,38.45,38.27,1,3845.0000000000005,none
74,2013-08-06,4029.599435339998,4456.674399999999,8486.273835339996,37.55,37.41,37.55,37.19,1,37.604,none
75,2013-08-07,2013.529435339998,6474.207654490396,8487.737089830394,35.6,35.97,35.97,35.6,1,35.744,none
76,2013-08-08,4103.392506439997,4425.658999999999,8529.051506439995,37.1,37.1,37.1,37.1,0,37.211,none
77,2013-08-09,2050.3325064399974,6448.232797496068,8498.565303936066,36.61,36.61,36.61,36.61,1,3661.0,none
78,2013-08-14,2111.412490919998,6499.718518914654,8611.131009834651,38.84,38.45,38.84,38.45,1,3884.0000000000005,none
79,2013-08-16,4240.377471509999,4672.589299999998,8912.966771509997,39.17,39.01,39.23,39.01,0,39.287,none
80,2013-08-20,4240.377471509999,4382.714599999998,8623.092071509996,36.74,37.34,37.34,36.74,0,36.806000000000004,none
81,2013-08-21,4240.377471509999,4201.393799999998,8441.771271509997,35.22,34.5,35.22,34.39,0,35.4,none
82,2013-08-22,4240.377471509999,4204.972499999998,8445.349971509997,35.25,35.18,35.26,35.17,0,35.499,none
83,2013-08-23,2119.027471509999,6584.115375917371,8703.14284742737,36.38,36.49,36.49,36.37,1,36.416000000000004,none
84,2013-08-26,536.1430865799989,8179.685534473884,8715.828621053883,37.37,37.41,37.41,37.37,1,3743.0,none
