,Day,Cash,Portfolio,Total,Open,Close,High,Low,Buy sign,Target price,Tag
0,2015-05-29,10000.0,0.0,10000.0,7700.0,7700.0,7700.0,7700.0,0,770000.0,none
1,2015-06-01,10000.0,0.0,10000.0,7800.0,7782.0,7800.0,7600.0,0,780000.0,none
2,2015-06-02,10000.0,0.0,10000.0,7848.02,7719.999,7848.02,7719.999,0,7908.02,none
3,2015-06-03,10000.0,0.0,10000.0,7541.98,7554.0,7554.0,7541.98,0,7580.3863,none
4,2015-06-04,10000.0,0.0,10000.0,7750.0,7742.0,7750.0,7742.0,0,7754.808,none
5,2015-06-05,10000.0,0.0,10000.0,7614.0,7319.999,7614.0,7274.0,0,7618.0,none
6,2015-06-08,10000.0,0.0,10000.0,7219.999,7296.0,7450.0,7138.08,0,7389.999,none
7,2015-06-09,10000.0,0.0,10000.0,7500.0,7632.0,7810.0,7500.0,0,7655.96,none
8,2015-06-10,10000.0,0.0,10000.0,7666.001,7501.999,7750.0,7429.979,0,7790.001,none
9,2015-06-11,10000.0,0.0,10000.0,7400.0,7290.0,7494.96,7290.0,0,7528.0084,none
10,2015-06-12,10000.0,0.0,10000.0,7494.0,7600.0,7680.001,7490.0,0,759648.0,none
11,2015-06-15,10000.0,0.0,10000.0,7776.0,7608.0,8000.0,7545.98,0,7833.0003,none
12,2015-06-16,10000.0,0.0,10000.0,7640.0,7380.001,7640.0,7340.0,0,7776.206,none
13,2015-06-17,10000.0,0.0,10000.0,7360.0,7182.0,7360.0,7104.0,0,7450.0,none
14,2015-06-18,10000.0,0.0,10000.0,7010.0,6587.9995,7010.0,6480.0005,0,7086.8,none
15,2015-06-19,10000.0,0.0,10000.0,6540.0,6474.0,6724.0,6468.0,0,6751.9998,none
16,2015-06-22,10000.0,0.0,10000.0,6242.0,5914.0,6331.98,5903.84,0,6318.8,none
17,2015-06-23,10000.0,0.0,10000.0,5816.0,5930.0,6132.0,5782.0,0,6030.07,none
18,2015-06-24,10000.0,0.0,10000.0,5956.0,6322.0,6392.0,5928.0,0,6096.0,none
19,2015-06-25,10000.0,0.0,10000.0,6176.0,6472.0,6677.98,6150.0,0,6361.6,none
20,2015-06-26,10000.0,0.0,10000.0,6472.0,6600.0396,6933.999,6320.0,0,6735.99,none
21,2015-06-29,10000.0,0.0,10000.0,6890.0,7272.0,7275.66,6672.0,0,719699.95,none
22,2015-06-30,10000.0,0.0,10000.0,6772.0,6298.0,6900.0,6236.0,0,6953.098,none
23,2015-07-01,10000.0,0.0,10000.0,6056.0,6536.0,6682.0,6012.0996,0,638800.0,none
24,2015-07-02,10000.0,0.0,10000.0,6134.0,6696.0,6810.0,6134.0,0,6334.97012,none
25,2015-07-06,10000.0,0.0,10000.0,6928.0,6424.0,6976.56,6238.0,0,7130.8,none
26,2015-07-07,10000.0,0.0,10000.0,6406.0,6348.0,6910.0,6344.0,0,6627.568,none
27,2015-07-08,10000.0,0.0,10000.0,6624.0,7072.0,7083.999,6544.0,0,690700.0,none
28,2015-07-09,10000.0,0.0,10000.0,6780.001,6598.0005,6785.981,6519.9995,0,6942.0007000000005,none
29,2015-07-10,10000.0,0.0,10000.0,6318.02,6150.0,6554.0,6138.0,0,645101.0750000001,none
