,Day,Cash,Portfolio,Total,Open,Close,High,Low,Buy sign,Target price,Tag
0,2015-05-29,5004.44,4992.064,9996.504,3207.2,3277.6,3349.5999,3160.0,1,326096.00299999997,none
1,2015-06-01,10258.935276799999,0.0,10258.935276799999,3414.4,3299.2002,3667.2,3148.8,0,3448.527982,none
2,2015-06-02,10258.935276799999,0.0,10258.935276799999,3185.6,3268.0,3372.792,3160.0,0,3278.912,none
3,2015-06-03,5149.145276799999,5106.215999999999,10255.361276799998,3350.4001,3391.2,3408.0,3248.0,1,341423.76999999996,none
4,2015-06-04,10056.2279128,0.0,10056.2279128,3344.0,3304.0,3437.6,3185.6,1,339200.0,none
5,2015-06-05,10056.2279128,0.0,10056.2279128,3305.6,3497.6,3497.6,3200.0,1,3350.96,none
6,2015-06-08,10056.2279128,0.0,10056.2279128,3508.0,3486.4,3563.192,3408.0,1,3561.568,none
7,2015-06-09,10056.2279128,0.0,10056.2279128,3480.0,3321.6,3480.0,3211.2,1,3507.93456,none
8,2015-06-10,10056.2279128,0.0,10056.2279128,3317.6,3414.416,3414.416,3240.0,1,3365.984,none
9,2015-06-11,5041.517912799999,5011.2,10052.717912799999,3432.0,3474.112,3476.0,3354.4,1,348432.48,none
10,2015-06-12,9817.372472799998,0.0,9817.372472799998,3460.0,3314.4,3460.0,3280.0,1,3481.888,none
11,2015-06-15,4933.912472799998,4880.048,9813.960472799998,3242.4,3350.4001,3357.6,3143.2002,1,329640.0,none
12,2015-06-16,4933.912472799998,4968.256,9902.168472799998,3334.4,3368.8,3440.0,3296.0,1,339871.994,none
13,2015-06-17,4933.912472799998,5108.912,10042.824472799999,3428.8,3491.2,3548.0,3420.0,1,347200.0,none
14,2015-06-18,5145.235035999998,5111.98864,10257.223675999998,3577.6,3794.4,3848.8,3577.6,1,3616.0,none
15,2015-06-19,5145.235035999998,5425.2519999999995,10570.487035999999,3820.6,3864.0,3880.0,3707.2,1,3869.416,none
16,2015-06-22,5420.090963999998,5380.378720000001,10800.469684,3988.0,4189.6,4197.6,3932.8,1,403984.0,none
17,2015-06-23,11135.207579999998,0.0,11135.207579999998,4268.0,4184.0,4336.8,4031.2,0,4315.664,none
18,2015-06-24,11135.207579999998,0.0,11135.207579999998,4161.6,3904.8,4200.0,3858.784,0,4216.608,none
19,2015-06-25,11135.207579999998,0.0,11135.207579999998,4000.0,3807.2,4016.0,3680.0,0,4061.41888,none
20,2015-06-26,11135.207579999998,0.0,11135.207579999998,3863.2,3738.4,3909.6,3547.2,0,3923.68,none
21,2015-06-29,11135.207579999998,0.0,11135.207579999998,3557.6,3360.0,3728.8,3348.0,0,3622.832,none
22,2015-06-30,11135.207579999998,0.0,11135.207579999998,3616.0,3816.8,3831.2,3507.2,0,3684.544,none
23,2015-07-01,11135.207579999998,0.0,11135.207579999998,3980.0,3660.0,4000.0,3552.8,0,4038.32,none
24,2015-07-02,11135.207579999998,0.0,11135.207579999998,3777.6,3560.0,3779.2,3496.8,0,3858.096,none
25,2015-07-06,11135.207579999998,0.0,11135.207579999998,3440.0,3704.0,3804.0,3404.8,0,3490.832,none
26,2015-07-07,11135.207579999998,0.0,11135.207579999998,3720.0,3736.0,3749.312,3424.0,0,3791.8559999999998,none
27,2015-07-08,11135.207579999998,0.0,11135.207579999998,3568.0,3328.8,3620.0,3302.4,0,3626.55616,none
28,2015-07-09,11135.207579999998,0.0,11135.207579999998,3501.6,3532.0,3583.2,3455.2,0,3558.768,none
29,2015-07-10,5576.597579999999,5554.72,11131.317579999999,3708.8,3765.6,3784.8,3560.8,1,374720.0,none
30,2015-07-13,5699.735892799999,5665.536,11365.2718928,3890.4,4060.0,4108.3843,3888.0,1,395760.0,none
31,2015-07-14,5699.735892799999,5871.744,11571.479892799998,4077.6,4344.0,4371.2,4043.2,1,4130.492232,none
32,2015-07-15,12130.303342399999,0.0,12130.303342399999,4468.8,4320.0,4609.6,4256.3438,0,4527.84,none
33,2015-07-16,12130.303342399999,0.0,12130.303342399999,4444.8003,4559.2,4587.2,4356.0,0,4508.386416,none
34,2015-07-17,6092.0033423999985,6034.080000000001,12126.0833424,4609.6,4646.4004,4648.5117,4409.608,1,4665.088000000001,none
35,2015-07-20,12235.140134399999,0.0,12235.140134399999,4728.8,4635.1997,4785.6,4497.6,0,4771.8026660000005,none
36,2015-07-21,12235.140134399999,0.0,12235.140134399999,4629.6,4416.008,4629.6,4216.0,0,4681.4400000000005,none
37,2015-07-22,12235.140134399999,0.0,12235.140134399999,4167.2,4468.0,4500.0,4100.0,0,4241.648,none
38,2015-07-23,12235.140134399999,0.0,12235.140134399999,4480.0,4333.608,4613.5996,4312.0,0,4552.0,none
39,2015-07-24,6119.500134399998,6111.36,12230.860134399998,4188.8,3892.8,4378.4,3868.8,1,427927.988,none
40,2015-07-27,11535.866022399998,0.0,11535.866022399998,3770.4,3695.2,3780.8,3540.0,1,3862.128,none
41,2015-07-28,5790.636022399998,5741.215999999999,11531.852022399999,3844.0,4001.6,4052.0,3628.8,1,391624.0,none
42,2015-07-29,11860.304278399999,0.0,11860.304278399999,4104.0,3754.4,4105.6,3626.4084,0,4180.176,none
43,2015-07-30,11860.304278399999,0.0,11860.304278399999,3744.8,3717.6,3778.4,3434.4,0,3831.054488,none
44,2015-07-31,11860.304278399999,0.0,11860.304278399999,3764.0,3843.2,3994.4,3664.0,0,3825.92,none
45,2015-08-03,11860.304278399999,0.0,11860.304278399999,3885.6,3835.2,4014.4,3721.6,0,3945.072,none
46,2015-08-04,11860.304278399999,0.0,11860.304278399999,3876.0,3855.2,3962.392,3792.008,0,3928.704,none
47,2015-08-05,5955.774278399999,5900.4,11856.174278399998,3924.0,3896.8,4044.0,3848.0,1,397511.52,none
48,2015-08-06,11615.002043999999,0.0,11615.002043999999,3880.0,3300.1682,3886.84,3225.6,1,3915.28,none
49,2015-08-07,11615.002043999999,0.0,11615.002043999999,3296.7998,3056.0,3297.6,2820.0,1,3415.823,none
50,2015-08-10,11615.002043999999,0.0,11615.002043999999,3240.0,3130.4001,3294.4,3090.4001,1,3325.968,none
51,2015-08-11,5827.132043999999,5783.823613999999,11610.955657999999,2964.8,2936.7998,3240.0,2822.4,1,3013.7599760000003,none
52,2015-08-12,11193.4050216,0.0,11193.4050216,2800.7998,3000.7998,3060.0,2600.7998,1,2875.9678,none
53,2015-08-13,11193.4050216,0.0,11193.4050216,3049.5999,2849.5999,3116.0,2836.0,1,3132.255936,none
54,2015-08-14,11193.4050216,0.0,11193.4050216,2824.0,2723.2002,2887.088,2572.0,1,2874.4,none
55,2015-08-17,11193.4050216,0.0,11193.4050216,2658.4,3060.0,3073.5999,2640.0,1,2715.11584,none
56,2015-08-18,11193.4050216,0.0,11193.4050216,3044.0,2844.0,3055.192,2828.0,1,3122.047982,none
