,Day,Cash,Portfolio,Total,Open,Close,High,Low,Buy sign,Target price,Tag
0,2008-05-06,1247.71,8746.1709,9993.8809,29.0,29.7,29.86,28.93,1,2962.0,none
1,2008-05-07,155.83000000000007,9837.295399999999,9993.125399999999,29.69,29.21,30.14,29.08,1,3015.5,none
2,2008-05-08,155.83000000000007,9790.302,9946.132,29.3,29.27,29.39,29.0,1,29.618000000000002,none
3,2008-05-09,39.08000000000007,9953.962999999998,9993.042999999998,29.16,29.39,29.55,28.95,1,2935.5,none
4,2008-05-12,39.08000000000007,9941.021999999999,9980.101999999999,29.4,29.99,30.06,29.35,1,2970.0,none
5,2008-05-13,39.08000000000007,10143.9,10182.98,30.0,29.78,30.13,29.53,1,30.213,none
6,2008-05-14,39.08000000000007,10106.7057,10145.7857,29.89,29.93,30.26,29.73,1,3019.0,none
7,2008-05-15,39.08000000000007,10137.1374,10176.2174,29.98,30.45,30.53,29.94,1,3024.5,none
8,2008-05-16,39.08000000000007,10302.8211,10341.9011,30.47,29.99,30.48,29.92,1,30.647,none
9,2008-05-19,39.08000000000007,10099.9431,10139.0231,29.87,29.46,29.89,29.31,1,30.038,none
10,2008-05-20,9833.72024909,1.545430450278218e-13,9833.72024909,29.3,28.76,29.31,28.63,1,29.474,none
11,2008-05-21,4913.62024909,4916.66,9830.28024909,28.81,28.25,29.05,28.19,1,29.081999999999997,none
12,2008-05-22,613.1602490899994,9214.1,9827.260249089999,28.28,28.47,28.7,28.19,1,2871.0,none
13,2008-05-23,613.1602490899994,9048.852,9662.01224909,28.26,28.05,28.33,27.95,1,28.413,none
14,2008-05-27,76.8102490899994,9750.072,9826.88224909,28.11,28.44,28.5,28.05,1,2829.9999999999995,none
15,2008-05-28,464.66895780999937,9299.707199999999,9764.376157809998,28.56,28.18,28.57,28.04,0,28.695,none
16,2008-05-29,58.17895780999938,9765.647661077212,9823.826618887211,28.21,28.31,28.68,28.14,1,2847.5,none
17,2008-05-30,29.098957809999384,9794.707461077212,9823.806418887212,28.38,28.32,28.7,28.2,1,2865.0,none
18,2008-06-02,29.098957809999384,9628.428,9657.52695781,28.24,27.8,28.36,27.55,1,28.389999999999997,none
19,2008-06-03,4689.879526029999,4715.4891,9405.368626029998,27.91,27.31,28.31,27.27,1,28.233999999999998,none
20,2008-06-04,2308.3590496099987,7049.65027076054,9358.009320370538,27.28,27.54,27.64,27.2,1,27.8,none
21,2008-06-05,868.6540485999984,8506.70690189477,9375.360950494767,27.73,28.3,28.3,27.6,1,2795.0000000000005,none
22,2008-06-06,434.3040485999984,8940.752801894769,9375.056850494768,27.99,27.49,28.17,27.49,1,28.27,none
23,2008-06-09,108.7040485999984,9266.124001894768,9374.828050494767,27.65,27.71,27.91,27.3,1,27.990000000000002,none
24,2008-06-10,54.4940485999984,9320.299001894768,9374.793050494765,27.38,27.89,28.29,27.33,1,2768.5,none
25,2008-06-11,54.4940485999984,9339.776000000002,9394.2700486,27.85,27.12,27.92,27.11,1,28.138,none
26,2008-06-12,54.4940485999984,9188.864,9243.358048599997,27.4,28.24,28.55,27.2,1,2780.5,none
27,2008-06-13,596.8158729399987,8910.242052475849,9507.057925415847,28.63,29.07,29.57,28.5,1,2930.5,none
