,Day,Cash,Portfolio,Total,Open,Close,High,Low,Buy sign,Target price,Tag
0,2024-11-26,2496.7000000000003,7498.055386999999,9994.755387,22.2,23.67,24.19,22.05,1,22.7625,none
1,2024-11-27,311.5100000000003,9681.716901999998,9993.226901999999,24.05,24.6,25.83,23.9905,1,2512.0,none
2,2024-11-29,9812.172977330001,597.9194999999995,10410.092477330001,24.2,23.65,24.2,22.78,0,24.751849999999997,none
3,2024-12-02,9812.172977330001,582.6267999999994,10394.799777330001,23.24,21.81,23.32,21.37,0,23.665999999999997,none
4,2024-12-03,9812.172977330001,559.0609999999996,10371.233977330001,22.3,22.21,22.44,21.8198,0,22.885,none
5,2024-12-04,9812.172977330001,523.7122999999996,10335.88527733,20.89,21.32,21.8379,20.85,0,21.076060000000002,none
6,2024-12-05,1224.0929773300013,9160.192234900198,10384.2852122302,21.44,22.54,22.73,21.35,1,2193.3950000000004,none
7,2024-12-06,10055.7516017488,561.5705069999992,10617.322108748798,22.5,22.14,22.75,22.0,1,22.914,none
8,2024-12-09,2510.6916017487993,8087.804146036147,10598.495747784946,22.59,22.45,22.91,21.65,1,22.965,none
9,2024-12-10,1236.4937463387982,9239.312409457945,10475.806155796743,22.35,24.11,24.5399,22.26,1,2298.0000000000005,none
10,2024-12-11,10090.110349405597,586.1365999999988,10676.246949405595,23.05,22.32,23.5086,21.8649,1,23.73397,none
11,2024-12-12,5041.700349405597,5616.564078211886,10658.264427617483,22.85,22.84,23.3612,22.535,1,23.50748,none
12,2024-12-13,1205.8607639935967,9036.971001105969,10242.831765099565,21.28,20.91,21.995,20.5317,1,2169.31,none
13,2024-12-16,4651.0728904047955,5197.9712171172805,9849.044107522077,20.75,19.77,21.22,19.4801,1,21.33532,none
14,2024-12-17,4570.535559794797,5106.396769414538,9676.932329209336,20.38,20.62,20.97,20.032,1,21.07596,none
15,2024-12-18,1124.144070914797,8405.065540590182,9529.209611504979,20.2,23.02,23.39,19.735,1,2066.8999999999996,none
16,2024-12-19,9877.716078254796,573.1002000000004,10450.816278254797,22.75,24.08,24.24,22.625,1,23.8465,none
17,2024-12-20,9877.716078254796,613.2122000000005,10490.928278254796,24.46,23.11,24.71,22.13,1,24.9445,none
18,2024-12-23,9877.716078254796,558.8103000000004,10436.526378254797,22.29,20.74,22.29,20.68,1,23.064,none
19,2024-12-23,9877.716078254796,558.8103000000004,10436.526378254797,22.29,20.74,22.29,20.68,1,23.064,none
