,Day,Cash,Portfolio,Total,Open,Close,High,Low,Buy sign,Target price,Tag
0,2017-02-28,1248.0500000000002,8745.8255,9993.875500000002,191.1,192.1,193.4,190.25,1,19230.0,none
1,2017-03-01,4466.568523600001,5121.070559290953,9587.639082890953,181.6,182.3,182.7,180.0,1,183.175,none
2,2017-03-02,2233.278523600001,7352.800559290952,9586.079082890952,180.45,180.5,181.1,178.5,1,181.52999999999997,none
3,2017-03-03,4469.606997100001,5062.035,9531.6419971,181.5,181.7,181.7,178.2,0,182.28,none
4,2017-03-06,4469.606997100001,5039.723,9509.329997100001,180.7,179.15,180.7,177.9,0,181.75,none
5,2017-03-07,1117.5369971000007,8448.42135451578,9565.95835161578,177.8,177.45,178.553,176.7,1,179.2,none
6,2017-03-08,740.2091170600008,8577.233864859789,9317.44298191979,172.45,174.3,175.355,172.2,1,17337.649999999998,none
7,2017-03-09,371.24911706000086,8945.936864859788,9317.185981919789,172.4,170.4,173.1,170.05,1,173.662,none
8,2017-03-10,186.98911706000086,9130.072094859788,9317.061211919789,171.6,172.1,172.26,169.8,1,172.82,none
9,2017-03-13,3367.3463075600007,5613.915999999999,8981.26230756,170.4,168.8,171.4,168.8,1,17163.0,none
10,2017-03-14,421.1863075600008,8771.727763167437,9192.914070727438,170.1,171.3,172.5,169.8,1,17139.999999999996,none
11,2017-03-15,367.3123665600005,8811.776293600753,9179.088660160753,173.4,177.4,178.8,172.8,1,17475.0,none
12,2017-03-16,367.3123665600005,8863.561999999998,9230.874366559998,175.1,174.95,175.9,173.632,1,176.9,none
13,2017-03-17,183.8323665600005,8995.128293600754,9178.960660160754,175.9,178.0,178.5,175.402,1,17703.399999999998,none
14,2017-03-20,183.8323665600005,9190.313999999998,9374.146366559999,177.9,180.6,180.6,177.6,1,17944.9,none
15,2017-03-21,183.8323665600005,9283.301999999998,9467.134366559998,179.7,184.9,185.676,179.7,1,18120.0,none
16,2017-03-22,3048.276325959999,6552.669099249847,9600.945425209846,187.7,187.1,189.6,186.299,1,190.0904,none
17,2017-03-23,1524.6763259599993,8075.203099249847,9599.879425209845,188.0,186.2,188.9,184.401,1,189.3204,none
18,2017-03-24,190.97632595999931,9407.970099249847,9598.946425209846,186.5,188.15,189.2,186.1,1,18874.95,none
19,2017-03-27,1879.1529775599988,8065.100367268595,9944.253344828594,192.4,190.8,193.3,189.637,1,193.95,none
20,2017-03-28,1879.1529775599988,8165.057999999999,10044.210977559998,192.3,186.8,192.34,186.4,1,193.39890000000003,none
21,2017-03-29,470.3229775599988,9472.946027268594,9943.269004828593,188.4,190.2,190.499,188.2,1,191.37,none
22,2017-03-30,470.3229775599988,9435.403999999997,9905.726977559996,189.2,185.7,189.2,185.404,1,189.8897,none
23,2017-03-31,235.67297755999877,9707.432027268595,9943.105004828592,185.4,187.3,187.7,185.0,1,18729.8,none
24,2017-04-03,235.67297755999877,9571.535999999996,9807.208977559994,187.2,192.8,193.8,187.0,1,18855.0,none
25,2017-04-04,235.67297755999877,9796.507999999998,10032.180977559996,191.6,189.7,192.5,189.465,1,193.64,none
26,2017-04-05,235.67297755999877,9597.100999999997,9832.773977559995,187.7,191.3,192.0,186.7,1,18921.749999999996,none
27,2017-04-06,235.67297755999877,9745.377999999997,9981.050977559995,190.6,190.7,191.5,187.5,1,192.19,none
28,2017-04-07,235.67297755999877,9893.654999999997,10129.327977559995,193.5,188.2,195.4,188.1,1,19550.0,none
29,2017-04-10,235.67297755999877,9719.812999999998,9955.485977559996,190.1,190.8,192.3,189.542,1,193.02,none
30,2017-04-11,235.67297755999877,9873.202999999998,10108.875977559996,193.1,196.275,197.299,192.901,1,19447.899999999998,none
31,2017-04-12,235.67297755999877,10062.383999999998,10298.056977559996,196.8,199.5,199.89,195.6,1,19899.9,none
32,2017-04-13,1808.6523371599983,8520.571242038397,10329.223579198395,201.2,201.3,202.5,198.6,1,203.34499999999997,none
33,2017-04-17,905.3023371599983,9423.291242038396,10328.593579198394,200.8,199.5,201.634,198.2,1,202.36,none
34,2017-04-18,982.2777291599962,9518.413825454749,10500.691554614745,203.2,207.4,208.5,201.763,1,20491.699999999997,none
35,2017-04-19,982.2777291599962,9614.975999999997,10597.253729159993,204.4,203.893,204.5,202.357,1,206.4211,none
36,2017-04-20,246.4477291599962,10253.730825454748,10500.178554614744,202.3,201.5,203.2,199.5,1,20337.15,none
37,2017-04-21,246.4477291599962,10270.808999999997,10517.256729159993,202.7,201.3,204.7,201.2,1,20455.0,none
38,2017-04-24,1183.818653820997,9019.00053917112,10202.819192992118,196.5,198.45,199.5,196.1,1,19825.0,none
39,2017-04-25,1001.950670578997,9041.543999999996,10043.494670578993,195.0,191.4,196.0,190.936,1,196.7,none
40,2017-04-26,251.040670578997,9938.770647523908,10189.811318102906,191.5,194.4,194.5,191.2,1,19403.199999999997,none
41,2017-04-27,251.040670578997,9701.999999999996,9953.040670578994,192.5,194.3,195.2,191.9,1,19415.0,none
42,2017-04-28,251.040670578997,9656.639999999996,9907.680670578993,191.6,195.4,195.8,191.6,1,19325.0,none
43,2017-05-01,8193.198365808998,1592.2219999999952,9785.420365808994,193.4,190.65,195.6,188.8,1,19550.0,none
44,2017-05-02,1023.5583658089973,8825.032731193474,9848.591097002472,189.9,193.3,193.8,189.9,1,19330.0,none
45,2017-05-03,3120.1551027089968,6797.410729104862,9917.56583181386,195.7,193.914,204.1,192.7,1,197.26,none
46,2017-05-04,3120.1551027089968,6643.994999999995,9764.150102708993,190.1,191.0,191.0,188.6,1,193.51999999999998,none
47,2017-05-05,1559.2151027089967,8357.262729104863,9916.47783181386,191.8,191.5,192.261,189.6,1,192.76000000000002,none
48,2017-05-08,1559.2151027089967,8200.527999999995,9759.743102708992,190.4,188.3,190.7,187.801,1,191.19830000000002,none
49,2017-05-09,2018.0148435289962,7633.214245422131,9651.229088951128,187.2,188.1,188.2,186.0,1,188.6495,none
50,2017-05-10,760.6202155289955,8893.033515635549,9653.653731164544,189.5,187.5,190.204,186.1,1,19060.0,none
51,2017-05-11,190.44021552899548,9462.80551563555,9653.245731164545,185.1,187.4,187.9,184.9,1,18715.199999999997,none
52,2017-05-12,289.70503832899544,9364.146262045466,9653.851300374461,189.9,191.7,192.2,189.8,1,19140.0,none
53,2017-05-15,289.70503832899544,9408.431999999993,9698.137038328989,190.3,190.2,190.8,188.7,1,191.5,none
54,2017-05-16,289.70503832899544,9408.431999999993,9698.137038328989,190.3,192.23,193.966,190.3,1,19135.000000000004,none
55,2017-05-17,769.4777007289945,9119.755536772213,9889.233237501207,197.6,200.6,201.8,196.5,1,19943.3,none
