,Day,Cash,Portfolio,Total,Open,Close,High,Low,Buy sign,Target price,Tag
0,2011-06-16,10000.0,0.0,10000.0,773.2,747.4,779.8001,724.6,0,782.3800000000001,none
1,2011-06-17,10000.0,0.0,10000.0,760.2,736.2,763.8,727.4,0,776.76003,none
2,2011-06-20,5003.67,4996.332682,10000.002682,721.6001,735.0,744.0,721.6001,1,736.1600999999999,none
3,2011-06-21,5110.258000000001,5099.796,10210.054,763.4,784.0,790.0,756.2,1,772.35996,none
4,2011-06-22,1283.9280000000008,8926.122000000001,10210.050000000003,765.0,770.0,793.0,765.0,1,78190.0,none
5,2011-06-23,1283.9280000000008,8771.728,10055.655999999999,758.8,780.0,780.0,731.8,1,77280.0,none
6,2011-06-24,8131.488000000001,2724.120000000001,10855.608000000002,828.0,793.8,828.0,784.2,0,842.46,none
7,2011-06-27,5412.522000000001,5399.004000000001,10811.526000000002,814.6,829.0,829.0,801.8,1,832.12,none
8,2011-06-28,1377.9780000000017,9534.116000000002,10912.094000000003,842.2,873.0,876.0,835.2,1,85580.0,none
9,2011-06-29,8417.978000000003,2807.200000000001,11225.178000000004,880.0,886.0,886.0,858.0,0,892.24,none
10,2011-06-30,1414.2460000000046,9843.468,11257.714000000005,890.2,918.6,922.4,890.2,1,90420.0,none
11,2011-07-01,1414.2460000000046,10062.612000000003,11476.858000000007,919.8,964.2,968.0,905.0,1,935.8999999999999,none
12,2011-07-05,9051.258000000005,3046.9920000000034,12098.25000000001,976.6,971.8,976.6,950.0,0,995.5,none
13,2011-07-06,1500.7100000000053,10454.024000000003,11954.734000000008,930.6,951.4,955.6,912.0,1,94390.00000000001,none
14,2011-07-07,9162.810000000007,3068.700000000002,12231.51000000001,965.0,968.2,976.8,952.8,0,978.08,none
15,2011-07-08,12202.254000000006,2.1223023338734492e-12,12202.254000000008,955.8,951.2,956.0,926.2,0,963.0,none
16,2011-07-11,12202.254000000006,2.05657713081564e-12,12202.254000000008,926.2,880.4,927.8,874.0,0,935.14,none
17,2011-07-12,12202.254000000006,1.902034085787818e-12,12202.254000000008,856.6,850.0,866.8,842.0,0,872.74,none
18,2011-07-13,1535.6740000000061,10666.582000000002,12202.256000000008,882.4,886.2,910.8,880.2,1,89480.0,none
19,2011-07-14,1535.6740000000061,10497.69,12033.364000000007,877.0,868.6,907.4,856.4,1,886.18,none
20,2011-07-15,1535.6740000000061,10773.0,12308.674000000006,900.0,895.8,909.8,879.8,1,915.3,none
21,2011-07-18,9398.254000000006,3145.0320000000006,12543.286000000007,919.6,864.0,919.6,843.8,0,928.6,none
22,2011-07-19,4702.344000000006,7743.506857142858,12445.850857142865,882.0,903.0,904.8,882.0,1,912.32,none
23,2011-07-20,7872.684000000007,4811.130000000001,12683.814000000008,927.0,915.2,927.0,899.2,0,933.84,none
24,2011-07-21,996.6240000000064,11543.748802389251,12540.372802389258,900.8,915.8,933.6,900.8,1,91470.0,none
25,2011-07-22,1450.0720000000074,11147.899624649832,12597.97162464984,917.2,942.2,945.0,917.2,1,93360.00000000001,none
26,2011-07-25,1450.0720000000074,11141.660000000002,12591.732000000009,914.0,928.0,939.4,905.0,1,92790.0,none
27,2011-07-26,6504.814000000008,6377.04,12881.854000000007,937.8,953.6,969.0,937.8,0,948.1199999999999,none
28,2011-07-27,10061.994000000008,2980.3400000000006,13042.334000000008,961.4,918.0,961.4,910.0,0,970.76,none
29,2011-07-28,2519.4840000000077,10377.498779033182,12896.98277903319,918.2,918.0,942.4,915.2,1,943.9000000000001,none
30,2011-07-29,2519.4840000000077,9856.512,12375.996000000008,883.2,922.0,926.0,876.2,1,891.36,none
31,2011-08-01,8145.736000000008,5236.892000000001,13382.628000000008,973.4,921.6,975.6,900.2,0,988.3399999999999,none
32,2011-08-02,12707.976000000008,7.531752999057062e-13,12707.976000000008,885.2,845.2,901.2,840.0,0,907.82,none
33,2011-08-03,12707.976000000008,7.423396120032067e-13,12707.976000000008,835.8001,824.6,844.6,765.8001,0,854.1601,none
34,2011-08-04,12707.976000000008,7.194245199571014e-13,12707.976000000008,810.0,700.4,815.4,683.4,0,833.63997,none
35,2011-08-05,12707.976000000008,6.16928730323707e-13,12707.976000000008,694.6,667.4,707.4,600.0,0,734.2,none
36,2011-08-08,12707.976000000008,5.435651928564766e-13,12707.976000000008,612.0,521.0,612.0,501.0,0,644.22,none
37,2011-08-09,12707.976000000008,4.785505325344274e-13,12707.976000000008,538.8,596.6,596.6,517.4,0,572.0999999999999,none
