Number,Day(in),Day(out),Price(in),Price(out),Amount,Return
1,2008-05-06,2008-05-19,6.6282,6.51,754.35,-1.783289580881685
2,2008-05-06,2008-05-19,6.6493,6.5164,375.71,-1.9987066307731676
3,2008-05-06,2008-05-19,6.6632,6.51,187.33,-2.2991955817024854
4,2008-05-07,2008-05-19,6.6818,6.5071,93.34,-2.6145649375916613
5,2008-05-07,2008-05-19,6.7018,6.51,46.5,-2.861917693753926
6,2008-05-08,2008-05-19,6.6321,6.5164,23.48,-1.7445454682528967
7,2008-05-08,2008-05-19,6.6593,6.51,11.68,-2.24197738501044
8,2008-05-09,2008-05-12,6.5654,6.6146,5.92,0.7493831297407607
9,2008-05-09,2008-05-19,6.5771,6.4914,2.96,-1.3030058840522436
10,2008-05-12,2008-05-19,6.64,6.51,4.41,-1.9578313253012032
11,2008-05-12,2008-05-19,6.6493,6.5164,2.2,-1.9987066307731676
12,2008-05-12,2008-05-19,6.6514,6.51,1.1,-2.1258682382656278
13,2008-05-20,2008-05-21,6.5643,6.335,744.05,-3.493137120485052
14,2008-05-20,2008-05-21,6.585,6.3689,370.6,-3.2817008352315864
15,2008-05-20,2008-05-21,6.6118,6.335,184.42,-4.186454520705402
16,2008-05-21,2008-05-22,6.6839,6.3614,91.15,-4.825027304418089
17,2008-05-21,2008-05-22,6.705,6.3718,45.4,-4.969425801640562
18,2008-05-27,2008-05-28,6.5611,6.6932,717.04,2.0133819024249036
19,2008-05-27,2008-06-09,6.5761,6.4332,357.45,-2.1730204832651574
20,2008-05-27,2008-05-28,6.5889,6.6932,178.25,1.5829652901091273
21,2008-05-29,2008-06-09,6.6993,6.3986,534.52,-4.48852865224725
22,2008-05-29,2008-06-09,6.7143,6.4332,266.48,-4.1865868370492745
23,2008-05-30,2008-06-09,6.7086,6.3496,133.26,-5.351340070953701
24,2008-05-30,2008-06-09,6.7254000000000005,6.4332,66.42,-4.344722990454103
25,2008-05-30,2008-06-09,6.7282,6.3986,33.17,-4.898784221634317
26,2008-06-02,2008-06-09,6.745,6.4332,16.53,-4.6226834692364696
27,2008-06-02,2008-06-09,6.7575,6.3539,8.24,-5.9726230114687375
28,2008-06-02,2008-06-09,6.7614,6.4332,4.12,-4.854024314491079
29,2008-06-03,2008-06-09,6.7118,6.3986,2.07,-4.666408415030247
30,2008-06-04,2008-06-09,6.6225000000000005,6.4332,1.05,-2.858437146092869
31,2008-06-10,2008-06-12,6.5389,6.3254,697.79,-3.265075165547719
32,2008-06-10,2008-06-12,6.5693,6.2896,347.03,-4.257683467036062
33,2008-06-10,2008-06-12,6.605,6.3254,172.46,-4.233156699470102
34,2008-06-16,2008-06-17,6.2714,6.3611,703.22,1.4303026437478166
35,2008-06-16,2008-06-23,6.3054,6.1779,349.46,-2.022076315539054
36,2008-06-16,2008-06-17,6.3325,6.3611,173.86,0.45163837347020686
37,2008-06-17,2008-06-23,6.4454,6.1554,517.85,-4.499332857541813
38,2008-06-17,2008-06-23,6.4718,6.1779,257.69,-4.541240458605023
39,2008-06-19,2008-06-23,6.4186,6.1639,129.82,-3.9681550493877125
40,2008-06-19,2008-06-23,6.4318,6.1779,64.73,-3.947572996672779
41,2008-06-19,2008-06-23,6.4464,6.1554,32.27,-4.514147431124341
42,2008-06-23,2008-06-26,6.2621,6.0586,681.82,-3.2497085642196706
43,2008-06-24,2008-06-26,6.1886,6.0596,344.72,-2.084477910997648
