,Number,Day(in),Day(out),Price(in),Price(out),Amount,Return
0,1,2011-06-17,2011-06-20,4.9063,4.9438,1019.09,0.7643234209078232
1,2,2011-06-20,2011-06-21,4.9438,5.045,1014.52,2.0470083741251566
2,3,2011-06-21,2011-06-22,5.045,5.0825,1003.64,0.7433102081268512
3,4,2011-06-21,2011-06-23,5.0588,4.8188,500.1,-4.744208112595859
4,5,2011-06-22,2011-06-24,5.0925,4.8275,748.7,-5.203730976926864
5,6,2011-06-22,2011-06-23,5.0813,4.8188,374.92,-5.1660008265601185
6,7,2011-06-22,2011-06-27,5.0963,4.8438,186.78,-4.954574887663607
7,8,2011-06-27,2011-06-28,4.86,5.105,902.94,5.041152263374488
8,9,2011-06-28,2011-06-29,5.105,5.1363,969.21,0.6131243878550418
9,10,2011-06-29,2011-06-30,5.1388,5.1825,965.11,0.8503930878804448
10,11,2011-06-29,2011-07-01,5.1338,5.2775,482.68,2.799096186061006
11,12,2011-06-29,2011-06-30,5.13,5.1825,241.35,1.0233918128655013
12,13,2011-06-30,2011-07-05,5.2038,5.3675,719.23,3.1457780852453885
13,14,2011-07-01,2011-07-11,5.3,5.045,592.98,-4.811320754716979
14,15,2011-07-01,2011-07-05,5.3,5.3675,296.29,1.2735849056603754
15,16,2011-07-07,2011-07-11,5.32,5.0438,659.41,-5.191729323308274
16,17,2011-07-08,2011-07-18,5.2563,4.9375,333.47,-6.065102828986176
17,18,2011-07-08,2011-07-18,5.27,4.9738,166.19,-5.620493358633773
18,19,2011-07-12,2011-07-13,5.1213,5.24,701.8,2.317770878487893
19,20,2011-07-12,2011-07-18,5.1088000000000005,4.9375,351.51,-3.3530378953961875
20,21,2011-07-13,2011-07-18,5.2563,4.97,520.27,-5.4467971767212795
21,22,2011-07-15,2011-07-18,5.1438,4.8163,265.64,-6.366888292701887
22,23,2011-07-18,2011-07-21,4.9738,5.1238,477.02,3.015802806707153
23,24,2011-07-20,2011-07-26,5.0025,4.9288,705.59,-1.473263368315853
24,25,2011-07-20,2011-07-21,5.02,5.1238,351.32,2.06772908366535
25,26,2011-07-21,2011-07-26,5.1238,4.93,585.86,-3.7823490378234985
26,27,2011-07-21,2011-07-26,5.1425,4.9288,291.66,-4.1555663587749185
27,28,2011-07-21,2011-07-26,5.15,4.9613,145.51,-3.664077669902927
28,29,2011-07-25,2011-07-27,5.0438,4.7638,74.24,-5.551369998810426
29,30,2011-07-25,2011-07-27,5.0663,4.75,36.93,-6.243214969504372
30,31,2011-07-26,2011-07-27,4.9288,4.6675,18.96,-5.301493264080495
31,32,2011-07-26,2011-07-27,4.945,4.655,870.87,-5.864509605662286
32,33,2011-07-27,2011-07-29,4.7775,4.5025,505.72,-5.75614861329146
33,34,2011-08-11,2011-08-12,3.035,3.5225,1079.72,16.06260296540362
34,35,2011-08-15,2011-08-18,3.6538,3.4325,968.21,-6.056708084733698
35,36,2011-08-15,2011-08-18,3.6638,3.4163,482.45,-6.755281401823245
36,37,2011-08-19,2011-08-22,3.3238,3.4375,1013.06,3.4207834406402355
37,38,2011-08-19,2011-08-24,3.345,3.6363,502.97,8.708520179372186
38,39,2011-08-23,2011-08-25,3.3688000000000002,3.7438000000000002,766.03,11.131560199477558
39,40,2011-08-23,2011-08-24,3.3775,3.6363,381.76,7.662472242783121
40,41,2011-08-29,2011-08-31,3.9525,4.13,932.23,4.49082858950031
41,42,2011-09-01,2011-09-02,4.1288,3.7925,911.82,-8.145223793838404
42,43,2011-09-02,2011-09-06,3.8487999999999998,3.5263,937.66,-8.379235086260648
43,44,2011-09-02,2011-09-06,3.875,3.5238,465.34,-9.063225806451612
44,45,2011-09-02,2011-09-06,3.8975,3.5263,231.16,-9.524053880692751
45,46,2011-09-07,2011-09-08,3.9375,4.0675,845.42,3.301587301587299
