Number,Day(in),Day(out),Price(in),Price(out),Amount,Return
1,2015-05-29,2015-06-01,3241.6,3414.4,1.54,5.330700888450154
2,2015-06-03,2015-06-04,3381.6,3252.0,1.51,-3.8325053229240567
3,2015-06-11,2015-06-12,3456.0,3296.0,1.45,-4.62962962962963
4,2015-06-15,2015-06-18,3275.2,3577.6,1.49,9.233023937469472
5,2015-06-18,2015-06-22,3599.992,3988.0,1.42,10.77802395116433
6,2015-06-22,2015-06-23,4015.208,4268.0,1.34,6.295863128385874
7,2015-07-10,2015-07-13,3728.0,3890.4,1.49,4.356223175965668
8,2015-07-13,2015-07-15,3934.4,4468.8,1.44,13.582757218381458
9,2015-07-17,2015-07-20,4641.6,4728.8,1.3,1.8786625301620092
10,2015-07-24,2015-07-27,4244.0,3764.0,1.44,-11.310084825636192
11,2015-07-28,2015-07-29,3879.2,4104.0,1.48,5.795009280263977
12,2015-08-05,2015-08-06,3960.0,3800.8,1.49,-4.0202020202020154
13,2015-08-11,2015-08-12,2996.7998,2782.4,1.93,-7.154291721455658
14,2015-08-19,2015-08-20,2822.4,2591.2,1.98,-8.191609977324273
15,2015-09-15,2015-09-16,2688.0,2648.0,1.99,-1.488095238095238
16,2015-10-26,2015-10-27,1474.2799,1488.8,3.6,0.984894388100927
17,2015-10-26,2015-10-27,1480.0,1489.0961,1.8,0.6146013513513499
18,2015-10-28,2015-10-29,1572.8,1680.8,3.4,6.86673448626653
19,2015-10-28,2015-10-29,1580.0,1683.2,1.69,6.531645569620256
20,2015-11-02,2015-11-03,1580.104,1724.0,3.55,9.106742341010463
21,2015-11-02,2015-11-03,1592.0,1720.0,1.76,8.040201005025125
22,2015-11-12,2015-11-13,1704.0,1599.2,2.61,-6.150234741784035
23,2015-11-12,2015-11-13,1705.6,1582.032,1.31,-7.244840525328329
24,2015-11-23,2015-11-24,1711.2,1726.4,2.47,0.888265544647034
25,2015-11-23,2015-11-24,1712.0,1729.6718,1.24,1.0322313084112194
26,2015-11-30,2015-12-01,2000.0,1892.8,2.13,-5.360000000000002
27,2015-11-30,2015-12-01,2008.0,1885.6,1.06,-6.095617529880483
28,2015-12-11,2015-12-14,1526.4,1404.0,2.67,-8.018867924528307
29,2015-12-11,2015-12-14,1532.0,1400.0,1.33,-8.616187989556137
30,2015-12-16,2015-12-17,1529.6001,1694.4,2.5,10.774051335378442
