,Number,Day(in),Day(out),Price(in),Price(out),Amount,Return
0,1,2008-05-06,2008-05-20,29.3,28.99,170.64,-1.0580204778157074
1,2,2008-05-06,2008-05-20,29.43,28.98,84.89,-1.5290519877675817
2,3,2008-05-06,2008-05-20,29.59,28.99,42.18,-2.027712064886791
3,4,2008-05-07,2008-05-20,29.9,28.99,20.86,-3.043478260869566
4,5,2008-05-07,2008-05-20,29.99,28.99,10.39,-3.334444814938313
5,6,2008-05-07,2008-05-20,30.08,28.98,5.18,-3.6569148936170146
6,7,2008-05-09,2008-05-20,29.21,28.99,2.66,-0.75316672372476
7,8,2008-05-09,2008-05-20,29.3,29.0,1.33,-1.0238907849829375
8,9,2008-05-21,2008-06-03,29.0,27.51,169.54,-5.137931034482754
9,10,2008-05-22,2008-06-04,28.47,27.25,86.29,-4.285212504390583
10,11,2008-05-22,2008-06-04,28.57,27.24,42.96,-4.655232761638088
11,12,2008-05-22,2008-06-04,28.65,27.25,21.41,-4.886561954624777
12,13,2008-05-27,2008-05-28,28.16,28.56,10.88,1.4204545454545403
13,14,2008-05-27,2008-06-04,28.24,27.21,5.42,-3.64730878186968
14,15,2008-05-27,2008-05-28,28.24,28.56,2.71,1.133144475920681
15,16,2008-05-29,2008-06-04,28.37,27.24,8.18,-3.9830807190694486
16,17,2008-05-29,2008-06-04,28.4,27.23,4.09,-4.119718309859149
17,18,2008-05-29,2008-06-04,28.42,27.24,2.04,-4.152005629838153
18,19,2008-05-30,2008-06-04,28.49,27.21,1.02,-4.492804492804484
19,20,2008-06-04,2008-06-05,27.53,27.73,167.91,0.7264802034144544
20,21,2008-06-04,2008-06-13,27.63,28.63,83.59,3.6192544335866814
21,22,2008-06-05,2008-06-23,27.81,28.04,125.15,0.8270406328658771
22,23,2008-06-05,2008-06-13,27.89,28.63,62.35,2.6532807457870144
23,24,2008-06-05,2008-06-23,27.95,28.05,31.09,0.3577817531305954
24,25,2008-06-06,2008-06-13,28.13,28.63,15.43,1.7774617845716318
25,26,2008-06-09,2008-06-23,27.81,28.04,7.8,0.8270406328658771
26,27,2008-06-09,2008-06-13,27.88,28.63,3.89,2.6901004304160687
27,28,2008-06-10,2008-06-23,27.5,28.05,1.97,2.0000000000000027
28,29,2008-06-13,2008-06-23,29.0,28.04,82.45,-3.31034482758621
29,30,2008-06-13,2008-06-23,29.12,28.05,41.03,-3.67445054945055
30,31,2008-06-13,2008-06-23,29.25,28.04,20.41,-4.13675213675214
31,32,2008-06-17,2008-06-24,29.08,27.67,10.26,-4.848693259972478
32,33,2008-06-18,2008-06-24,28.6,27.69,5.21,-3.181818181818182
33,34,2008-06-18,2008-06-24,28.65,27.67,2.6,-3.420593368237337
34,35,2008-06-18,2008-06-24,28.68,27.68,1.3,-3.486750348675035
35,36,2008-06-25,2008-07-01,27.89,27.19,165.96,-2.5098601649336656
36,37,2008-06-25,2008-07-01,28.03,27.17,82.5,-3.0681412772029946
37,38,2008-06-25,2008-07-01,27.99,27.19,41.28,-2.8581636298678
38,39,2008-06-27,2008-07-01,27.8,26.53,20.77,-4.568345323741005
39,40,2008-06-27,2008-07-01,27.82,26.44,10.37,-4.960460100647013
40,41,2008-06-27,2008-07-01,27.87,26.53,5.17,-4.8080373161105125
41,42,2008-06-30,2008-07-01,27.8,26.48,2.59,-4.7482014388489215
42,43,2008-06-30,2008-07-01,27.86,26.53,1.29,-4.773869346733663
43,44,2008-07-07,2008-07-10,26.24,25.02,170.95,-4.649390243902435
44,45,2008-07-07,2008-07-10,26.21,25.03,85.51,-4.502098435711559
45,46,2008-07-07,2008-07-10,26.24,25.02,42.68,-4.649390243902435
46,47,2008-07-10,2008-07-17,25.35,27.58,22.07,8.796844181459553
47,48,2008-07-10,2008-07-18,25.43,26.12,10.99,2.7133307117577714
48,49,2008-07-10,2008-07-17,25.49,27.58,5.48,8.19929384072185
49,50,2008-07-11,2008-07-18,25.38,26.2,150.11,3.2308904649330192
50,51,2008-07-11,2008-07-17,25.45,27.58,74.8,8.369351669941057
51,52,2008-07-11,2008-07-18,25.46,26.12,37.36,2.5923016496465046
52,53,2008-07-14,2008-07-17,25.69,27.58,18.5,7.356948228882822
53,54,2008-07-14,2008-07-18,25.74,26.3,9.22,2.175602175602185
54,55,2008-07-15,2008-07-17,25.13,27.58,4.72,9.749303621169913
55,56,2008-07-15,2008-07-18,25.17,26.12,2.36,3.7743345252284435
56,57,2008-07-15,2008-07-17,25.27,27.58,1.17,9.141274238227142
57,58,2008-07-21,2008-07-24,26.02,25.45,173.3,-2.1906225980015384
58,59,2008-07-21,2008-07-24,26.14,25.46,86.2,-2.6013771996939545
59,60,2008-07-22,2008-07-24,25.73,25.45,43.75,-1.0882238631947188
60,61,2008-07-22,2008-07-24,25.75,25.44,21.85,-1.203883495145626
61,62,2008-07-22,2008-07-24,25.87,25.45,10.86,-1.6235021260146956
62,63,2008-07-23,2008-07-24,25.95,25.46,5.41,-1.8882466281310153
63,64,2008-07-23,2008-07-24,25.99,25.45,2.7,-2.077722200846476
64,65,2008-07-23,2008-07-28,26.04,25.45,1.35,-2.2657450076804913
65,66,2008-07-25,2008-08-04,25.81,25.15,170.21,-2.557148392096088
66,67,2008-07-25,2008-08-04,25.88,25.15,84.81,-2.8207109737248857
67,68,2008-07-25,2008-08-04,25.94,25.15,42.28,-3.045489591364698
68,69,2008-07-29,2008-07-30,25.69,26.2,22.0,1.9852082522382173
69,70,2008-07-29,2008-08-04,25.83,25.13,10.93,-2.710027100271
70,71,2008-07-29,2008-07-30,25.85,26.2,5.46,1.3539651837524096
71,72,2008-07-30,2008-08-04,26.38,25.15,16.3,-4.662623199393481
72,73,2008-07-30,2008-08-04,26.48,25.15,8.11,-5.02265861027191
73,74,2008-07-31,2008-08-06,25.97,26.73,4.13,2.926453600308054
74,75,2008-07-31,2008-08-21,26.05,27.0,2.06,3.646833013435698
75,76,2008-07-31,2008-08-06,26.08,26.73,1.03,2.492331288343567
