Number,Day(in),Day(out),Price(in),Price(out),Amount,Return
1,2010-03-12,2010-03-15,0.6652,0.6312,7516.53,-5.1112447384245385
2,2010-03-15,2010-03-17,0.638,0.7000000000000001,7631.35,9.717868338558002
3,2010-03-16,2010-03-19,0.6378,0.6662,3814.2,4.452806522420818
4,2010-03-16,2010-03-17,0.6412,0.7000000000000001,1895.66,9.170305676855907
5,2010-03-16,2010-03-19,0.6438,0.6608,943.34,2.6405716060888493
6,2010-03-25,2010-03-26,0.7412000000000001,0.7045,6617.9,-4.951430113329744
7,2010-03-30,2010-04-01,0.7193,0.7042,6645.91,-2.0992631725288478
8,2010-04-01,2010-04-05,0.736,0.6902,3245.28,-6.222826086956515
9,2010-04-01,2010-04-08,0.7378,0.7323000000000001,1617.55,-0.7454594741122187
10,2010-04-01,2010-04-05,0.7417,0.6902,803.96,-6.943508156936766
11,2010-04-07,2010-04-08,0.7658,0.7307,5266.05,-4.583442151997913
12,2010-04-07,2010-04-08,0.7688,0.7323000000000001,2620.92,-4.747658688865761
13,2010-04-07,2010-04-08,0.7687,0.7293000000000001,1309.71,-5.125536620267983
14,2010-04-09,2010-04-12,0.7573000000000001,0.7703,5881.06,1.716624851445913
15,2010-04-12,2010-04-14,0.7778,0.8462000000000001,5771.16,8.794034456158398
16,2010-04-12,2010-04-15,0.78,0.9007000000000001,2875.43,15.474358974358978
17,2010-04-12,2010-04-14,0.7833,0.8462000000000001,1430.65,8.0301289416571
18,2010-04-13,2010-04-16,0.7878000000000001,0.8722000000000001,710.74,10.713379030210717
19,2010-04-13,2010-04-14,0.7898000000000001,0.8462000000000001,354.23,7.141048366675109
20,2010-04-13,2010-04-15,0.792,0.9007000000000001,176.49,13.724747474747476
21,2010-04-14,2010-04-16,0.8533000000000001,0.8755000000000001,3825.81,2.6016641275049803
22,2010-04-14,2010-04-15,0.8578,0.9007000000000001,1901.54,5.001165772907443
23,2010-04-14,2010-04-16,0.8573000000000001,0.8722000000000001,950.66,1.7380146973054966
24,2010-04-15,2010-04-16,0.9147000000000001,0.8678,2882.3,-5.127364163113595
25,2010-04-15,2010-04-16,0.92,0.8722000000000001,1431.85,-5.195652173913038
26,2010-04-21,2010-04-22,0.8973000000000001,0.8247,5493.75,-8.090939485122044
27,2010-04-21,2010-04-22,0.8982,0.8137000000000001,2742.2,-9.407704297483846
28,2010-04-26,2010-04-27,0.9268000000000001,0.884,4973.36,-4.618040569702207
29,2010-04-26,2010-04-27,0.9283,0.8808,2480.92,-5.116880318862435
30,2010-04-26,2010-04-27,0.9333,0.884,1232.95,-5.282331511839709
31,2010-04-27,2010-04-28,0.8935000000000001,0.8377,4933.47,-6.245103525461675
32,2010-04-27,2010-04-28,0.8977,0.842,2453.47,-6.204745460621598
33,2010-04-27,2010-04-28,0.898,0.8377,1225.47,-6.714922048997775
34,2010-05-11,2010-05-13,0.6537000000000001,0.6923,6363.63,5.904849319259594
35,2010-05-11,2010-05-13,0.6595000000000001,0.6868000000000001,3151.63,4.1394996209249415
36,2010-05-11,2010-05-13,0.6607000000000001,0.6923,1571.85,4.782806114726799
37,2010-05-13,2010-05-14,0.7175,0.6333000000000001,723.2,-11.735191637630653
38,2010-05-13,2010-05-14,0.7195,0.625,360.34,-13.134120917303688
39,2010-05-13,2010-05-14,0.7237,0.6333000000000001,179.0,-12.491363824789268
40,2010-06-04,2010-06-07,0.6217,0.5672,6899.14,-8.766285990027344
41,2010-06-04,2010-06-07,0.6252,0.5745,3427.85,-8.109404990403066
42,2010-06-04,2010-06-07,0.63,0.5672,1699.68,-9.968253968253963
43,2010-06-11,2010-06-14,0.5258,0.5833,7523.59,10.935717002662608
44,2010-06-11,2010-06-14,0.5292,0.5723,3735.01,8.144368858654579
45,2010-06-11,2010-06-14,0.5322,0.5833,1855.68,9.601653513716654
46,2010-06-15,2010-06-16,0.5942000000000001,0.6353,7228.25,6.916863009087834
47,2010-06-28,2010-06-29,0.5808,0.5328,7645.42,-8.264462809917344
48,2010-06-28,2010-06-29,0.5858,0.5277000000000001,3787.42,-9.918060771594389
49,2010-06-28,2010-06-29,0.5883,0.5328,1884.35,-9.433962264150942
50,2010-07-12,2010-07-13,0.561,0.5982000000000001,7289.59,6.63101604278075
51,2010-07-12,2010-07-14,0.5625,0.6357,3632.53,13.01333333333334
52,2010-07-12,2010-07-13,0.5653,0.5982000000000001,1806.0,5.819918627277558
53,2010-07-13,2010-07-14,0.6065,0.614,5323.49,1.2366034624896869
54,2010-07-13,2010-07-14,0.6092000000000001,0.6357,2648.09,4.349967170059088
55,2010-07-13,2010-07-14,0.6135,0.6128,1313.84,-0.11409942950285801
56,2010-07-14,2010-07-15,0.6467,0.605,3707.49,-6.448121230864398
57,2010-07-20,2010-07-21,0.5502,0.5955,7913.77,8.233369683751365
58,2010-07-20,2010-07-21,0.5542,0.5630000000000001,3925.58,1.5878744135691139
59,2010-07-20,2010-07-21,0.559,0.5955,1944.57,6.529516994633269
60,2010-07-26,2010-07-27,0.6268,0.6438,7308.02,2.7121888959795815
61,2010-07-26,2010-07-27,0.6295000000000001,0.6123000000000001,3635.79,-2.7323272438443196
62,2010-07-26,2010-07-27,0.6333000000000001,0.6438,1805.73,1.657981999052574
63,2010-07-28,2010-07-29,0.6233000000000001,0.592,7404.72,-5.021658912241313
64,2010-07-28,2010-07-29,0.6263000000000001,0.594,3682.05,-5.157272872425372
65,2010-08-02,2010-08-03,0.5640000000000001,0.5378000000000001,7864.0,-4.6453900709219855
66,2010-08-02,2010-08-03,0.5677,0.5375,3903.64,-5.319711115025543
67,2010-08-02,2010-08-03,0.5715,0.5378000000000001,1937.48,-5.896762904636912
68,2010-08-04,2010-08-06,0.5625,0.5333,7529.58,-5.191111111111112
69,2010-08-04,2010-08-06,0.5638000000000001,0.5363,3753.49,-4.877616175948932
70,2010-08-05,2010-08-06,0.5667,0.5333,1865.83,-5.893770954649725
71,2010-08-06,2010-08-10,0.5405,0.5317000000000001,7470.19,-1.628122109158172
72,2010-08-06,2010-08-10,0.5435,0.5313,3711.88,-2.2447102115915345
73,2010-08-06,2010-08-10,0.5445,0.5317000000000001,1851.23,-2.3507805325987
74,2010-08-16,2010-08-17,0.42450000000000004,0.44170000000000004,9341.3,4.051825677267371
75,2010-08-16,2010-08-19,0.4273,0.4408,4636.8,3.1593728059911097
76,2010-08-16,2010-08-17,0.4303,0.44170000000000004,2300.62,2.649314431791778
77,2010-08-18,2010-08-19,0.45,0.44,6808.78,-2.222222222222224
78,2010-08-18,2010-08-19,0.45280000000000004,0.4408,3380.97,-2.6501766784452316
79,2010-08-18,2010-08-19,0.4545,0.439,1682.98,-3.4103410341034133
80,2010-08-19,2010-08-20,0.45830000000000004,0.43570000000000003,833.93,-4.931267728562079
81,2010-08-20,2010-08-23,0.4475,0.431,8542.75,-3.68715083798883
82,2010-08-20,2010-08-23,0.4505,0.431,4239.95,-4.3285238623751425
83,2010-08-23,2010-08-24,0.45280000000000004,0.4,2508.68,-11.660777385159014
84,2010-08-24,2010-08-25,0.41650000000000004,0.3925,9175.73,-5.762304921968792
85,2010-08-25,2010-08-26,0.40180000000000005,0.4223,9230.92,5.102040816326521
86,2010-08-25,2010-08-26,0.403,0.4022,4598.5,-0.1985111662531074
87,2010-08-25,2010-08-26,0.4062,0.4223,2279.54,3.9635647464303307
88,2010-08-31,2010-09-03,0.38530000000000003,0.4363,9902.65,13.236439138333761
89,2010-08-31,2010-09-03,0.38880000000000003,0.4243,4903.32,9.130658436213984
90,2010-09-03,2010-09-07,0.44520000000000004,0.4242,6988.52,-4.7169811320754755
91,2010-09-03,2010-09-07,0.44720000000000004,0.421,3476.19,-5.858676207513429
92,2010-09-10,2010-09-15,0.4103,0.43820000000000003,9818.91,6.799902510358283
93,2010-09-14,2010-09-15,0.4365,0.4375,4611.54,0.22909507445589938
94,2010-09-16,2010-09-17,0.45070000000000005,0.4665,9238.18,3.505657865542485
95,2010-09-16,2010-09-22,0.4515,0.44620000000000004,4607.68,-1.173864894795121
96,2010-09-16,2010-09-17,0.45330000000000004,0.4665,2293.09,2.9119788219722014
97,2010-09-20,2010-09-22,0.46380000000000005,0.44680000000000003,6914.94,-3.6653730056058675
98,2010-09-20,2010-09-22,0.4652,0.44620000000000004,3444.66,-4.084264832330172
99,2010-09-20,2010-09-22,0.4665,0.448,1716.32,-3.9657020364415896
100,2010-09-21,2010-09-22,0.4718,0.44620000000000004,847.93,-5.426027977956752
101,2010-09-21,2010-09-22,0.4737,0.44680000000000003,421.97,-5.678699598902255
102,2010-09-22,2010-09-23,0.458,0.427,8965.59,-6.768558951965072
103,2010-09-22,2010-09-23,0.46030000000000004,0.4238,4457.28,-7.929611123180541
