Number,Day(in),Day(out),Price(in),Price(out),Amount,Return
1,2010-02-12,2010-02-16,0.43010000000000004,0.444,11625.2,3.231806556614733
2,2010-02-12,2010-02-17,0.4318,0.4572,5785.66,5.882352941176465
3,2010-02-12,2010-02-16,0.4355,0.444,2866.24,1.9517795637198638
4,2010-02-16,2010-02-23,0.449,0.449,8549.08,0.0
5,2010-02-16,2010-02-17,0.4511,0.4572,4251.66,1.352250055420083
6,2010-02-18,2010-02-23,0.46040000000000003,0.44820000000000004,7061.72,-2.649869678540397
7,2010-02-18,2010-02-23,0.46130000000000004,0.449,3521.51,-2.6663776284413685
8,2010-02-18,2010-02-23,0.4616,0.4481,1758.37,-2.92461005199307
9,2010-02-19,2010-02-23,0.4681,0.449,866.38,-4.080324716940826
10,2010-02-19,2010-02-23,0.46940000000000004,0.44820000000000004,431.68,-4.516403919897741
11,2010-02-19,2010-02-23,0.4707,0.449,215.1,-4.61015508816656
12,2010-02-24,2010-02-25,0.46090000000000003,0.44110000000000005,10152.43,-4.295942720763719
13,2010-02-24,2010-02-25,0.463,0.43960000000000005,5049.65,-5.053995680345567
14,2010-02-25,2010-03-01,0.44830000000000003,0.47090000000000004,10071.08,5.041267008699533
15,2010-02-25,2010-03-02,0.4494,0.4893,5019.7,8.878504672897195
16,2010-02-25,2010-03-01,0.4521,0.47090000000000004,2493.11,4.158372041583729
17,2010-02-26,2010-03-05,0.465,0.5066,1211.13,8.946236559139791
18,2010-03-01,2010-03-02,0.47490000000000004,0.4893,6817.35,3.032217308907131
19,2010-03-01,2010-03-12,0.47540000000000004,0.554,3402.7,16.533445519562473
20,2010-03-01,2010-03-02,0.4768,0.4893,1695.16,2.621644295302016
21,2010-03-02,2010-03-05,0.4937,0.5066,7519.1,2.6129228276281187
22,2010-03-02,2010-03-17,0.49460000000000004,0.5573,3750.08,12.676910634856444
23,2010-03-02,2010-03-05,0.4968,0.5066,1865.43,1.9726247987117613
24,2010-03-03,2010-03-12,0.49570000000000003,0.554,934.14,11.76114585434739
25,2010-03-03,2010-03-05,0.49770000000000003,0.5066,464.86,1.788225838858754
26,2010-03-04,2010-03-19,0.4954,0.5715,233.35,15.361324182478805
27,2010-03-04,2010-03-05,0.49670000000000003,0.5066,116.29,1.9931548218240427
28,2010-03-05,2010-03-12,0.509,0.554,5614.86,8.840864440078592
29,2010-03-05,2010-03-17,0.5104000000000001,0.5573,2797.78,9.188871473354219
30,2010-03-05,2010-03-12,0.5131,0.554,1390.55,7.971155720132537
31,2010-03-08,2010-03-25,0.5223,0.588,682.55,12.578977599080984
32,2010-03-08,2010-03-12,0.524,0.554,339.92,5.725190839694661
33,2010-03-09,2010-03-17,0.5187,0.5573,171.58,7.4416811258916455
34,2010-03-09,2010-03-12,0.5195000000000001,0.554,85.6,6.6410009624639015
35,2010-03-09,2010-03-19,0.52,0.5715,42.73,9.903846153846152
36,2010-03-10,2010-03-12,0.536,0.554,20.71,3.3582089552238834
37,2010-03-10,2010-03-17,0.5377000000000001,0.5573,10.31,3.6451552910544818
38,2010-03-10,2010-03-12,0.5399,0.554,5.13,2.6115947397666233
39,2010-03-11,2010-04-01,0.5435,0.5665,2.55,4.231830726770934
40,2010-03-11,2010-03-12,0.5449,0.554,1.27,1.670031198385024
41,2010-03-15,2010-03-16,0.549,0.5508000000000001,5947.61,0.3278688524590207
42,2010-03-15,2010-03-17,0.549,0.5573,2971.73,1.5118397085610151
43,2010-03-16,2010-03-19,0.5548000000000001,0.5715,4419.6,3.010093727469347
44,2010-03-16,2010-03-17,0.5556,0.5573,2205.08,0.3059755219582496
45,2010-03-16,2010-03-25,0.5571,0.588,1098.8,5.546580506192771
46,2010-03-17,2010-03-19,0.5599000000000001,0.5715,6467.75,2.071798535452749
47,2010-03-17,2010-04-01,0.5618000000000001,0.5664,3220.68,0.8187967248130895
48,2010-03-17,2010-03-19,0.5623,0.5715,1607.79,1.636137293259823
49,2010-03-18,2010-03-25,0.5644,0.588,800.35,4.181431608788086
50,2010-03-18,2010-03-19,0.5659000000000001,0.5715,398.83,0.9895741297048838
51,2010-03-18,2010-04-01,0.5666,0.5665,199.03,-0.01764913519237363
52,2010-03-22,2010-03-25,0.5567,0.588,6856.57,5.622417819292258
