,Day,Cash,Portfolio,Total,Open,Close,High,Low,Buy sign,Target price,Tag,MDD
0,2009-11-03,10000.0,0.0,10000.0,8225.0,8195.0,8255.0,8195.0,0,0,0,0.0
1,2009-11-04,-0.3600000000005821,9999.991827001753,9999.631827001753,8270.0,8315.0,8345.0,8270.0,1,0,0,0.0
2,2009-11-05,9984.831445931604,0.0,9984.831445931604,8300.0,8230.0,8305.0,8230.0,0,0,0,-3.6817299824724615e-05
3,2009-11-06,9984.831445931604,0.0,9984.831445931604,8415.0,8385.0,8430.0,8370.0,0,0,0,-0.0015168554068395678
4,2009-11-09,-0.3485540683959698,9984.821521917007,9984.472967848611,8465.0,8450.0,8530.0,8430.0,1,0,0,-0.0015168554068395678
5,2009-11-10,9993.498964882456,0.0,9993.498964882456,8515.0,8575.0,8575.0,8490.0,0,0,0,-0.0015527032151388994
6,2009-11-11,9993.498964882456,0.0,9993.498964882456,8675.0,8550.0,8675.0,8485.0,0,0,0,-0.0006501035117544234
7,2009-11-12,9993.498964882456,0.0,9993.498964882456,8590.0,8530.0,8630.0,8530.0,0,0,0,-0.0006501035117544234
8,2009-11-13,-0.3610351175448159,9993.491525423728,9993.130490306183,8530.0,8620.0,8620.0,8485.0,1,0,0,-0.0006501035117544234
9,2009-11-16,-0.3642402210552973,10132.203354178842,10131.839113957787,8720.0,8820.0,8820.0,8675.0,1,0,0,-0.0006869509693817235
10,2009-11-17,-0.36886369522108,10223.999075394506,10223.630211699285,8895.0,8950.0,9055.0,8895.0,1,0,0,0.0
11,2009-11-18,10210.189493452175,0.0,10210.189493452175,8985.0,8905.0,9020.0,8845.0,0,0,0,0.0
12,2009-11-19,10210.189493452175,0.0,10210.189493452175,8910.0,8970.0,9000.0,8900.000000000002,0,0,0,-0.0013146717916038106
13,2009-11-20,10210.189493452175,0.0,10210.189493452175,10315.0,8930.0,10315.0,8885.0,0,0,0,-0.0013146717916038106
14,2009-11-23,10210.189493452175,0.0,10210.189493452175,8934.999999999998,8875.0,8960.0,8840.0,0,0,0,-0.0013146717916038106
15,2009-11-24,10210.189493452175,0.0,10210.189493452175,10200.0,8930.0,10200.0,8855.0,0,0,0,-0.0013146717916038106
16,2009-11-25,10210.189493452175,0.0,10210.189493452175,9190.0,8940.0,9190.0,8905.0,0,0,0,-0.0013146717916038106
17,2009-11-26,10210.189493452175,0.0,10210.189493452175,8940.0,8875.0,8980.0,8875.0,0,0,0,-0.0013146717916038106
18,2009-11-27,10210.189493452175,0.0,10210.189493452175,8710.0,8425.0,8745.0,8400.0,0,0,0,-0.0013146717916038106
19,2009-11-30,10210.189493452175,0.0,10210.189493452175,8565.0,8590.0,8650.0,8505.0,0,0,0,-0.0013146717916038106
20,2009-12-01,-0.3705065478243341,10210.187435417884,10209.81692887006,8545.0,8690.0,8690.0,8500.0,1,0,0,-0.0013146717916038106
21,2009-12-02,10396.602643624365,0.0,10396.602643624365,8805.0,8830.0,8855.0,8790.0,0,0,0,-0.0013511133074256187
22,2009-12-03,10396.602643624365,0.0,10396.602643624365,8900.000000000002,8830.0,8900.000000000002,8765.0,0,0,0,0.0
23,2009-12-04,10396.602643624365,0.0,10396.602643624365,8820.0,8820.0,8830.0,8750.0,0,0,0,0.0
24,2009-12-07,10396.602643624365,0.0,10396.602643624365,8870.0,8695.0,8870.0,8615.0,0,0,0,0.0
25,2009-12-08,10396.602643624365,0.0,10396.602643624365,8785.0,8600.0,8785.0,8565.0,0,0,0,0.0
26,2009-12-09,10396.602643624365,0.0,10396.602643624365,8680.0,8590.0,8680.0,8470.0,0,0,0,0.0
27,2009-12-10,10396.602643624365,0.0,10396.602643624365,8660.0,8640.0,8660.0,8555.0,0,0,0,0.0
28,2009-12-11,-0.37735637563491764,10396.599762711865,10396.22240633623,8720.0,8905.0,8905.0,8680.0,1,0,0,0.0
29,2009-12-14,10533.57754093216,0.0,10533.57754093216,8910.0,9020.0,9025.0,8835.0,0,0,0,-3.657322503979433e-05
30,2009-12-15,10533.57754093216,0.0,10533.57754093216,9400.0,9020.0,9400.0,8950.0,0,0,0,0.0
31,2009-12-16,10533.57754093216,0.0,10533.57754093216,9030.0,8985.0,9030.0,8930.0,0,0,0,0.0
32,2009-12-17,-0.3824590678395907,10533.576855639976,10533.194396572137,9005.0,9005.0,9080.0,8990.0,1,0,0,0.0
33,2009-12-18,-0.3811178385240055,10376.117985973116,10375.736868134592,8940.0,9000.0,9005.0,8934.999999999998,1,0,0,-3.637362126343819e-05
34,2009-12-21,10371.901791307992,0.0,10371.901791307992,9000.0,8845.0,9000.0,8845.0,0,0,0,-0.014984526594522901
35,2009-12-22,10371.901791307992,0.0,10371.901791307992,8980.0,8810.0,8980.0,8810.0,0,0,0,-0.015348607725714874
36,2009-12-23,10371.901791307992,0.0,10371.901791307992,8980.0,8845.0,8980.0,8785.0,0,0,0,-0.015348607725714874
37,2009-12-24,10371.901791307992,0.0,10371.901791307992,8990.0,9055.0,9100.0,8865.0,0,0,0,-0.015348607725714874
38,2009-12-28,10371.901791307992,0.0,10371.901791307992,9090.0,9130.0,9175.0,9055.0,0,0,0,-0.015348607725714874
39,2009-12-29,10371.901791307992,0.0,10371.901791307992,9195.0,9175.0,9260.0,9150.0,0,0,0,-0.015348607725714874
40,2009-12-30,-0.3682086920089205,10371.892688486265,10371.524479794256,9230.0,9315.0,9330.0,9210.0,1,0,0,-0.015348607725714874
41,2010-01-04,10380.062007654824,0.0,10380.062007654824,9315.0,9330.0,9345.0,9275.0,0,0,0,-0.015384427608586515
42,2010-01-05,-0.37799234517660807,10380.0576201052,10379.679627760024,9385.0,9420.0,9500.0,9375.0,1,0,0,-0.014573921602683755
43,2010-01-06,11915.239193591742,0.0,11915.239193591742,10830.0,9485.0,10830.0,9435.0,0,0,0,-0.014610222649817437
44,2010-01-07,11915.239193591742,0.0,11915.239193591742,9610.0,9445.0,9610.0,9435.0,0,0,0,0.0
45,2010-01-08,11915.239193591742,0.0,11915.239193591742,9464.999999999998,9400.0,9464.999999999998,9265.0,0,0,0,0.0
46,2010-01-11,-0.43080640825792216,11915.234973699591,11914.804167291333,9250.0,9450.0,9575.0,9250.0,1,0,0,0.0
47,2010-01-12,12053.947512513054,0.0,12053.947512513054,9500.0,9480.0,9500.0,9380.0,0,0,0,-3.6510076998110254e-05
48,2010-01-13,12053.947512513054,0.0,12053.947512513054,9310.0,9115.0,9320.0,9115.0,0,0,0,0.0
49,2010-01-14,12053.947512513054,0.0,12053.947512513054,9110.0,9115.0,9195.0,9100.0,0,0,0,0.0
50,2010-01-15,12053.947512513054,0.0,12053.947512513054,9300.0,9165.000000000002,9300.0,9060.0,0,0,0,0.0
51,2010-01-18,12053.947512513054,0.0,12053.947512513054,9340.0,9185.0,9340.0,9020.0,0,0,0,0.0
52,2010-01-19,12053.947512513054,0.0,12053.947512513054,9230.0,9230.0,9235.0,9130.0,0,0,0,0.0
53,2010-01-20,-0.4324874869453197,12053.943022793686,12053.510535306741,9230.0,9290.0,9405.0,9230.0,1,0,0,0.0
