,Day,Cash,Portfolio,Total,Open,Close,High,Low,Buy sign,Target price,Tag,MDD
0,2011-04-28,-0.3500000000003638,9999.990347699051,9999.64034769905,6845.0,6864.999999999999,6880.0,6740.0,1,0,0,0.0
1,2011-04-29,9930.735854254472,0.0,9930.735854254472,6810.0,6740.0,6810.0,6700.0,0,0,0,-3.596523009491648e-05
2,2011-05-02,-0.35414574552851263,9930.729940102263,9930.375794356734,6900.0,7005.000000000001,7015.0,6825.0,1,0,0,-0.006926414574552836
3,2011-05-03,-0.3559741423596279,9954.356599707815,9954.000625565455,6949.999999999999,6945.0,7000.000000000001,6890.0,1,0,0,-0.006962420564326567
4,2011-05-04,-0.3608834197912074,9914.376140248356,9914.015256828565,6945.0,7020.0,7050.0,6945.0,1,0,0,-0.004599937443454474
5,2011-05-06,-0.361237721703219,10094.471658144632,10094.110420422929,7090.000000000001,7065.0,7160.0,7050.0,1,0,0,-0.008598474317143518
6,2011-05-09,10129.335773300983,0.0,10129.335773300983,7115.0,6935.0,7115.0,6900.0,0,0,0,0.0
7,2011-05-11,-0.3642266990173084,10129.33019430241,10128.965967603393,6840.0,6895.0,6904.999999999999,6810.0,1,0,0,0.0
8,2011-05-12,10107.325674439739,0.0,10107.325674439739,6890.0,6760.0,6890.0,6760.0,0,0,0,-3.650838572897541e-05
9,2011-05-13,10107.325674439739,0.0,10107.325674439739,6750.0,6675.0,6750.0,6605.0,0,0,0,-0.0021729064327455022
10,2011-05-16,10107.325674439739,0.0,10107.325674439739,6595.0,6555.0,6605.0,6540.0,0,0,0,-0.0021729064327455022
11,2011-05-17,-0.36432556026193197,10107.319910883856,10106.955585323594,6525.0,6590.0,6650.0,6525.0,1,0,0,-0.0021729064327455022
12,2011-05-18,-0.363578856768072,10142.891431701972,10142.527852845204,6565.0,6670.0,6670.0,6565.0,1,0,0,-0.0022094427984487484
13,2011-05-19,-0.3756019712127454,10250.304390065741,10249.928788094528,6635.0,6520.0,6640.0,6520.0,1,0,0,0.0
14,2011-05-20,10149.141922115545,0.0,10149.141922115545,6570.0,6545.0,6600.0,6535.0,0,0,0,0.0
15,2011-05-23,10149.141922115545,0.0,10149.141922115545,6555.0,6340.0,6555.0,6340.0,0,0,0,-0.00983293328789264
16,2011-05-24,-0.36807788445548795,10149.13676406136,10148.768686176905,6315.0,6400.0,6400.0,6315.0,1,0,0,-0.00983293328789264
17,2011-05-25,-0.3626730675205181,10173.048283418553,10172.685610351033,6395.0,6305.0,6430.0,6305.0,1,0,0,-0.009869346803181939
18,2011-05-26,-0.3544511016916658,10084.816407596787,10084.461956495095,6340.0,6340.0,6395.0,6340.0,1,0,0,-0.00753597213604207
19,2011-05-27,-0.3604044277799403,10168.032578524471,10167.672174096691,6420.0,6525.0,6545.0,6420.0,1,0,0,-0.016143217676948717
20,2011-05-30,10396.945566125572,0.0,10396.945566125572,6565.0,6475.0,6565.0,6470.0,0,0,0,-0.00802509126632954
21,2011-05-31,-0.37443387442726817,10396.937200146092,10396.562766271665,6450.0,6570.0,6570.0,6450.0,1,0,0,0.0
22,2011-06-01,-0.37007027861000097,10518.941132213295,10518.571061934685,6555.0,6590.0,6605.0,6555.0,1,0,0,-3.681849168802784e-05
23,2011-06-02,-0.3646591399810859,10365.737706355003,10365.373047215022,6460.0,6505.0,6575.0,6460.0,1,0,0,0.0
24,2011-06-03,-0.3852051234571263,10597.65254200146,10597.267336878003,6605.0,6560.0,6615.0,6545.0,1,0,0,-0.014564527236410094
25,2011-06-07,-0.3744067569132312,10388.297254930605,10387.922848173692,6475.0,6540.0,6550.0,6450.0,1,0,0,0.0
26,2011-06-08,-0.37433348385638965,10494.730675675675,10494.356342191819,6560.0,6530.0,6570.0,6500.0,1,0,0,-0.0197545727638485
27,2011-06-09,-0.3745315223113721,10370.12957779401,10369.755046271699,6490.0,6495.0,6520.0,6455.0,1,0,0,-0.009711087907356924
28,2011-06-10,10340.696677936932,0.0,10340.696677936932,6490.0,6415.0,6495.0,6365.0,0,0,0,-0.021468958305371044
29,2011-06-13,-0.3733220630674623,10340.695288531775,10340.321966468708,6350.0,6405.0,6445.0,6350.0,1,0,0,-0.024211020707972233
30,2011-06-14,-0.37710454760053835,10441.12242512783,10440.74532058023,6450.0,6415.0,6485.0,6400.0,1,0,0,-0.024246379962043388
31,2011-06-15,-0.3702994416762522,10472.730241051864,10472.359941610188,6470.0,6640.0,6640.0,6435.0,1,0,0,-0.01477003564429139
32,2011-06-16,10673.835928694774,0.0,10673.835928694774,6610.0,6575.0,6610.0,6545.0,0,0,0,-0.011786755141407394
33,2011-06-17,-0.38407130522500665,10673.831695398103,10673.447624092878,6595.0,6520.0,6655.0,6460.0,1,0,0,0.0
34,2011-06-20,10520.56985313964,0.0,10520.56985313964,6520.0,6485.0,6560.0,6460.0,0,0,0,-3.637910536478169e-05
35,2011-06-21,-0.38014686036149214,10520.564506939372,10520.18436007901,6495.0,6500.0,6535.0,6425.0,1,0,0,-0.014359043607097763
36,2011-06-22,10644.176393462205,0.0,10644.176393462205,6590.0,6530.0,6590.0,6510.0,0,0,0,-0.014395159307507975
37,2011-06-23,-0.3736065377943305,10644.167339663989,10643.793733126195,6520.0,6640.0,6645.0,6520.0,1,0,0,-0.0027787138036134535
38,2011-06-24,-0.40905131571889797,11198.037589481373,11197.628538165654,6885.0,6845.0,6925.0,6845.0,1,0,0,-0.0028145641144638935
39,2011-06-27,11213.484779800881,0.0,11213.484779800881,6895.0,6740.0,6895.0,6740.0,0,0,0,0.0
40,2011-06-28,11213.484779800881,0.0,11213.484779800881,6800.0,6620.0,6800.0,6585.0,0,0,0,0.0
41,2011-06-29,11213.484779800881,0.0,11213.484779800881,6635.0,6615.0,6650.0,6565.0,0,0,0,0.0
42,2011-06-30,-0.4052201991180482,11213.479117604089,11213.073897404971,6630.0,6620.0,6670.0,6585.0,1,0,0,0.0
43,2011-07-01,-0.4067327693974221,11354.27977209642,11353.873039327023,6735.0,6760.0,6765.0,6720.0,1,0,0,-3.66418115312896e-05
44,2011-07-04,-0.4151601587618643,11440.099175310446,11439.684015151684,6800.0,6760.0,6845.0,6740.0,1,0,0,0.0
45,2011-07-05,-0.40354271588876145,11381.259611395179,11380.85606867929,6770.0,6850.0,6875.000000000001,6770.0,1,0,0,0.0
46,2011-07-06,-0.41268952361315314,11417.320672023374,11416.90798249976,6810.0,6810.0,6840.0,6770.0,1,0,0,-0.005142445053069465
47,2011-07-07,-0.4072106277653802,11349.431777940103,11349.024567312337,6770.0,6770.0,6850.0,6765.0,1,0,0,-0.001990966937701884
48,2011-07-08,-0.4112831280090177,11361.995945945946,11361.584662817937,6790.0,6805.0,6805.0,6735.0,1,0,0,-0.007924995805764404
49,2011-07-11,-0.4084011013601412,11266.65069685902,11266.24229575766,6735.0,6815.0,6830.0,6735.0,1,0,0,-0.006827055033190258
50,2011-07-12,11338.420765829625,0.0,11338.420765829625,6795.0,6685.0,6795.0,6675.0,0,0,0,-0.015161408231582579
51,2011-07-13,-0.40923417037447507,11338.415053323593,11338.005819153219,6700.0,6745.0,6745.0,6640.0,1,0,0,-0.008851927132597139
52,2011-07-14,11268.58214596213,0.0,11268.58214596213,6695.0,6675.0,6700.0,6620.0,0,0,0,-0.008888199697106523
53,2011-07-15,-0.4078540378704929,11268.581515704895,11268.173661667024,6645.0,6675.0,6745.0,6645.0,1,0,0,-0.014956870221496797
54,2011-07-18,-0.41085525199378026,11339.58631117604,11339.175455924047,6710.0,6720.0,6735.0,6665.0,1,0,0,-0.014992577876932395
55,2011-07-19,-0.40617708943136677,11321.854327246165,11321.448150156733,6700.0,6805.0,6805.0,6695.0,1,0,0,-0.008785955896554072
56,2011-07-20,-0.4174064480648667,11492.200748721696,11491.783342273631,6815.0,6940.0,6955.000000000001,6815.0,1,0,0,-0.010335588364009834
57,2011-07-21,-0.41908379454616806,11699.562512783054,11699.143428988507,6940.0,6830.0,6975.0,6825.0,1,0,0,0.0
58,2011-07-22,-0.4188894778762915,11605.997995617241,11605.579106139365,6885.0,6960.000000000001,6970.0,6885.0,1,0,0,0.0
59,2011-07-25,-0.4131042988210538,11580.829948867786,11580.416844568965,6904.999999999999,6935.0,6960.000000000001,6904.999999999999,1,0,0,-0.00799753618006819
60,2011-07-26,-0.42150814776869083,11630.304010226444,11629.882502078675,6935.0,6859.999999999999,6940.0,6840.0,1,0,0,-0.010148314288151912
61,2011-07-27,11453.375935896342,0.0,11453.375935896342,6830.0,6760.0,6830.0,6725.0,0,0,0,-0.0059201707655122116
62,2011-07-28,-0.40406410365903866,11453.367703433163,11452.963639329504,6670.0,6695.0,6705.0,6620.0,1,0,0,-0.02100730661043058
63,2011-07-29,11432.893132668753,0.0,11432.893132668753,6690.0,6635.0,6690.0,6610.0,0,0,0,-0.021042548213317157
64,2011-08-01,-0.4068673312467581,11432.888520087656,11432.481652756409,6600.0,7599.999999999999,7599.999999999999,6600.0,1,0,0,-0.022758101730767012
65,2011-08-02,11494.198543566903,0.0,11494.198543566903,6660.0,6515.0,6660.0,6510.0,0,0,0,-0.022793273529013707
66,2011-08-03,11494.198543566903,0.0,11494.198543566903,6455.0,6425.0,6475.0,6350.0,0,0,0,-0.017517939382962467
67,2011-08-04,11494.198543566903,0.0,11494.198543566903,6425.0,6365.0,6455.0,6360.0,0,0,0,-0.017517939382962467
68,2011-08-05,-0.4114564330975554,11494.192942293645,11493.781485860547,6025.0,6115.0,6175.0,6000.0,1,0,0,-0.017517939382962467
69,2011-08-08,-0.4044886253595905,11247.10869978086,11246.7042111555,5915.0,5880.0,6115.0,5750.0,1,0,0,-0.017553587950645003
70,2011-08-09,10624.379447773226,0.0,10624.379447773226,5595.0,5640.0,5640.0,5300.0,0,0,0,-0.0386728499038604
71,2011-08-10,10624.379447773226,0.0,10624.379447773226,5725.0,5730.0,5785.0,5585.0,0,0,0,-0.09186689502004027
72,2011-08-11,-0.3905522267741617,10624.379295836377,10623.988743609603,5380.0,5775.0,5850.0,5380.0,1,0,0,-0.09186689502004027
73,2011-08-12,11589.597698167232,0.0,11589.597698167232,5915.0,5800.0,5915.0,5765.0,0,0,0,-0.0919002909832571
74,2011-08-16,-0.41230183276820753,11589.589481373265,11589.177179540497,5955.0,6060.0,6075.0,5955.0,1,0,0,-0.009363568494240311
75,2011-08-17,-0.4200393248356704,11733.616216216216,11733.19617689138,6075.0,6210.0,6235.0,6075.0,1,0,0,-0.009399512888741319
76,2011-08-18,-0.4336384601556347,11867.965529583636,11867.53189112348,6145.0,6090.0,6180.0,6040.0,1,0,0,0.0
77,2011-08-19,-0.40266545603117265,11307.033431701973,11306.630766245942,5855.0,5815.0,5960.0,5815.0,1,0,0,0.0
78,2011-08-22,-0.40364824698190205,11149.67207596786,11149.268427720877,5805.0,5735.0,5855.0,5725.0,1,0,0,-0.04726350264093868
79,2011-08-23,-0.40406199249991914,11135.439751643537,11135.035689651037,5810.0,5945.0,5945.0,5810.0,1,0,0,-0.060523407056511956
80,2011-08-24,-0.4067850365390768,11356.024835646458,11355.618050609919,5950.0,5900.0,6015.0,5845.0,1,0,0,-0.06172270765249235
81,2011-08-25,-0.40971083991644264,11526.962281957633,11526.552571117716,6040.0,5880.0,6090.0,5870.0,1,0,0,-0.043135661670010456
82,2011-08-26,-0.4014294538337708,11048.664490869247,11048.263061415413,5820.0,5880.0,5925.0,5820.0,1,0,0,-0.028732117438909598
83,2011-08-29,-0.40969949241662107,11262.388509861212,11261.978810368795,5985.0,6000.0,6040.0,5970.0,1,0,0,-0.06903447466788384
84,2011-08-30,-0.414564666500155,11346.244100073047,11345.829535406547,6030.0,6015.0,6075.0,6015.0,1,0,0,-0.051026033577177006
85,2011-08-31,-0.404951344602523,11327.549859751643,11327.144908407041,6025.0,6065.0,6080.0,5990.0,1,0,0,-0.04396047640766402
86,2011-09-01,-0.4146790655777295,11459.173747260775,11458.759068195197,6100.0,6175.0,6355.0,6100.0,1,0,0,-0.04553490883143372
87,2011-09-02,-0.4056282927358552,11457.397019722424,11456.991391429689,6110.0,6140.0,6195.0,6105.0,1,0,0,-0.034444636566262975
88,2011-09-05,-0.40397551777823537,11325.310286340396,11324.906310822618,6040.0,5910.0,6080.0,5910.0,1,0,0,-0.034593587231129576
89,2011-09-06,-0.38635791879642056,10928.026555149743,10927.640197230947,5830.0,5900.0,5975.0,5790.0,1,0,0,-0.045723540941712444
90,2011-09-07,-0.40288654085634334,11105.982017531045,11105.579130990189,5965.0,6085.0,6125.0,5965.0,1,0,0,-0.07919858168618378
91,2011-09-08,-0.41257905440215836,11408.030299488679,11407.617720434277,6140.0,6140.0,6145.0,6040.0,1,0,0,-0.06420482094539029
92,2011-09-09,11295.7274477099,0.0,11295.7274477099,6080.0,6000.0,6100.0,5985.0,0,0,0,-0.038753986499349934
93,2011-09-14,11295.7274477099,0.0,11295.7274477099,5935.0,5740.0,5960.0,5715.0,0,0,0,-0.048182254630490744
94,2011-09-15,11295.7274477099,0.0,11295.7274477099,5855.0,5785.0,5895.0,5680.0,0,0,0,-0.048182254630490744
95,2011-09-16,-0.4025522900992655,11295.72157779401,11295.31902550391,5820.0,5900.0,5900.0,5820.0,1,0,0,-0.048182254630490744
96,2011-09-19,-0.41065486374100146,11290.098159240322,11289.687504376581,5870.0,5800.0,5885.0,5795.0,1,0,0,-0.04821666972283994
97,2011-09-20,-0.39412649317091564,11048.861680058439,11048.467553565268,5745.0,5780.0,5830.0,5725.0,1,0,0,-0.048691201510830395
98,2011-09-21,-0.4036833383343037,11043.27431117604,11042.870627837705,5765.0,5870.0,5930.0,5765.0,1,0,0,-0.06901724343971184
99,2011-09-22,-0.4025909724732628,10992.715485756027,10992.312894783554,5745.0,5625.0,5790.0,5625.0,1,0,0,-0.06948886009757388
100,2011-09-23,-0.36496406664264214,10255.26157487217,10254.896610805527,5360.0,5125.0,5420.0,5125.0,1,0,0,-0.07374903260167867
101,2011-09-26,-0.3454435561197897,9682.478832724619,9682.133389168499,5095.0,4925.0,5175.0,4880.0,1,0,0,-0.1358863237202802
102,2011-09-27,9465.289725853689,0.0,9465.289725853689,5050.0,5070.0,5075.0,5000.0,0,0,0,-0.18414936837790066
103,2011-09-28,9465.289725853689,0.0,9465.289725853689,5140.0,4950.0,5140.0,4950.0,0,0,0,-0.2024213785400981
104,2011-09-29,-0.34027414631054853,9465.283240321403,9464.942966175093,4925.0,5690.0,5690.0,4875.0,1,0,0,-0.2024213785400981
105,2011-09-30,-0.34242333394468005,9584.283126369612,9583.940703035667,5045.0,5045.0,5105.0,5000.0,1,0,0,-0.20245059773089336
106,2011-10-04,9176.36936876103,0.0,9176.36936876103,4845.0,4805.0,4845.0,4665.0,0,0,0,-0.19242342965986586
107,2011-10-05,9176.36936876103,0.0,9176.36936876103,4810.0,4775.0,4855.0,4710.0,0,0,0,-0.22676682456403177
108,2011-10-06,-0.33063123897045443,9176.364236669102,9176.033605430132,4890.0,4935.0,4980.0,4880.0,1,0,0,-0.22676682456403177
109,2011-10-07,-0.34093156672133773,9352.877557341124,9352.536625774403,5015.0,5050.0,5080.0,4990.0,1,0,0,-0.22679511716387302
110,2011-10-10,-0.3412420892072987,9402.514276844411,9402.173034755204,5045.0,5170.0,5170.0,5045.0,1,0,0,-0.21192235154052638
111,2011-10-11,-0.3589884817465645,9797.268911614317,9796.90992313257,5265.0,5290.0,5295.0,5260.0,1,0,0,-0.2077398130450598
112,2011-10-12,-0.3499856062408071,9861.672937910884,9861.322952304643,5300.0,5330.0,5360.0,5220.0,1,0,0,-0.1744778937177044
113,2011-10-13,-0.36524875386749045,10062.783608473339,10062.418359719471,5410.0,5550.0,5590.0,5375.0,1,0,0,-0.16905022520473828
114,2011-10-14,-0.3722319628795958,10258.337604821036,10257.965372858156,5540.0,5495.0,5570.0,5455.0,1,0,0,-0.15210521850412503
115,2011-10-17,-0.36377750049905444,10228.939829802775,10228.576052302276,5535.0,5670.0,5670.0,5535.0,1,0,0,-0.135627739030491
116,2011-10-18,-0.37371756746142637,10144.50612125639,10144.13240368893,5515.0,5480.0,5525.0,5460.0,1,0,0,-0.13810418660404772
117,2011-10-19,-0.3593745888192643,10180.54264645727,10180.18327186845,5535.0,5570.0,5570.0,5455.0,1,0,0,-0.1452197056005889
118,2011-10-20,10277.919416182853,0.0,10277.919416182853,5605.0,5365.0,5615.0,5350.0,0,0,0,-0.1421819325817115
119,2011-10-21,10277.919416182853,0.0,10277.919416182853,5410.0,5270.0,5435.0,5240.0,0,0,0,-0.13394634111997672
120,2011-10-24,-0.3705838171481446,10277.912644265887,10277.542060448739,5320.0,5515.0,5550.0,5320.0,1,0,0,-0.13394634111997672
121,2011-10-25,-0.37880070671417343,10610.11650109569,10609.737700388976,5545.0,5490.0,5570.0,5485.0,1,0,0,-0.13397813844208006
122,2011-10-26,10456.280582952439,0.0,10456.280582952439,5465.0,5435.0,5465.0,5395.0,0,0,0,-0.10598616479600893
123,2011-10-27,-0.3794170475612191,10456.28,10455.90058295244,5455.0,5655.0,5655.0,5455.0,1,0,0,-0.11891700153985778
124,2011-10-28,-0.40206266682253045,11007.334740686632,11006.93267801981,5765.0,5790.0,5870.0,5750.0,1,0,0,-0.11894902167711002
125,2011-10-31,11149.72720837419,0.0,11149.72720837419,5840.0,5685.0,5840.0,5655.0,0,0,0,-0.07251711821793128
126,2011-11-01,-0.40279162580918637,11149.72399707816,11149.32120545235,5515.0,5550.0,5645.0,5515.0,1,0,0,-0.06048474858417569
127,2011-11-02,-0.3920037369698548,10897.724024835647,10897.332021098677,5445.0,5545.0,5550.0,5400.0,1,0,0,-0.06051895981912873
128,2011-11-03,-0.39695566020236583,11057.038744338934,11056.641788678731,5525.0,5545.0,5610.0,5525.0,1,0,0,-0.08175245526413806
129,2011-11-04,-0.40029854271779186,11218.932184075968,11218.53188553325,5620.0,5675.0,5725.0,5620.0,1,0,0,-0.0683284536232229
130,2011-11-07,11467.645889120455,0.0,11467.645889120455,5745.0,5630.0,5745.0,5625.0,0,0,0,-0.054687024357243263
131,2011-11-08,11467.645889120455,0.0,11467.645889120455,5665.0,5570.0,5665.0,5570.0,0,0,0,-0.033695801761622186
132,2011-11-09,11467.645889120455,0.0,11467.645889120455,5645.0,5560.0,5645.0,5535.0,0,0,0,-0.033695801761622186
133,2011-11-10,11467.645889120455,0.0,11467.645889120455,5410.0,5285.0,5430.0,5270.0,0,0,0,-0.033695801761622186
134,2011-11-11,-0.4141108795447508,11467.640286340396,11467.226175460852,5290.0,5260.0,5340.0,5230.0,1,0,0,-0.033695801761622186
135,2011-11-14,-0.41322600327112013,11527.022135865596,11526.608909862325,5360.0,5370.0,5420.0,5360.0,1,0,0,-0.03373116831158841
136,2011-11-15,-0.4155697584228619,11444.739488677867,11444.323918919445,5340.0,5270.0,5355.0,5270.0,1,0,0,-0.028727370138028
137,2011-11-16,-0.4057876006227161,11229.587206720233,11229.18141911961,5240.0,5180.0,5355.0,5180.0,1,0,0,-0.03566099304275573
138,2011-11-17,-0.39199505656506517,10970.504610664719,10970.112615608154,5140.0,5155.0,5160.0,5080.0,1,0,0,-0.053789657180642235
