Date,Open,High,Low,Close,Volume
2023-10-06,9225,9295,9000,9100,190020.0
2023-10-10,9220,9430,9060,9140,159960.0
2023-10-11,9265,9495,9265,9395,156990.0
2023-10-12,9465,9475,9270,9340,278250.0
2023-10-13,9335,9335,9050,9130,162520.0
2023-10-16,9085,9300,9050,9150,138680.0
2023-10-17,9170,9310,9075,9085,136270.0
2023-10-18,9155,9155,9005,9045,121960.0
2023-10-19,8905,8990,8730,8785,239460.0
2023-10-20,8670,8755,8560,8675,136060.0
2023-10-23,8670,8785,8500,8530,119780.0
2023-10-24,8550,8610,8300,8610,126600.0
2023-10-25,8680,8990,8650,8870,158850.0
2023-10-26,8730,8880,8555,8620,182310.0
2023-10-27,8675,8795,8470,8520,145540.0
2023-10-30,8560,8630,8435,8470,143660.0
2023-10-31,8515,8540,8100,8150,173660.0
2023-11-01,8160,8315,8125,8155,132480.0
2023-11-02,8330,8450,8330,8375,143460.0
2023-11-03,8515,8650,8390,8580,125470.0
2023-11-06,8815,9025,8635,9025,156520.0
2023-11-07,9000,9015,8765,8950,146120.0
2023-11-08,9055,9055,8620,8640,123140.0
2023-11-09,8620,8620,8380,8485,109300.0
2023-11-10,8470,8470,8360,8460,100670.0
2023-11-13,8585,8585,8210,8280,94080.0
2023-11-14,8340,8385,8280,8375,94060.0
2023-11-15,8640,8760,8465,8760,85650.0
2023-11-16,8815,8835,8590,8835,117790.0
2023-11-17,8875,8875,8650,8685,115260.0
2023-11-20,8685,9140,8685,9110,156660.0
2023-11-21,9180,9180,9030,9135,144610.0
2023-11-22,9150,9455,9150,9380,190570.0
2023-11-23,9400,9470,9255,9300,138300.0
2023-11-24,8975,9300,8830,8855,302880.0
2023-11-27,8865,9035,8800,9035,213330.0
2023-11-28,9115,9530,9055,9405,291530.0
2023-11-29,9585,9585,9300,9380,236380.0
2023-11-30,9490,9520,9275,9510,162770.0
2023-12-01,9570,9670,9530,9625,281730.0
2023-12-04,9665,9805,9665,9705,253530.0
2023-12-05,9670,9760,9485,9485,195280.0
2023-12-06,9490,9535,9385,9450,172470.0
2023-12-07,9390,9390,9290,9305,154750.0
2023-12-08,9340,9380,9270,9310,163590.0
2023-12-11,9310,9320,9150,9250,170340.0
2023-12-12,9330,9465,9230,9450,171020.0
2023-12-13,9350,9410,9280,9310,199640.0
2023-12-14,9385,9470,9310,9440,169390.0
2023-12-15,9440,9595,9440,9535,161910.0
2023-12-18,9585,9585,9250,9310,227450.0
2023-12-19,9360,9360,9185,9200,194950.0
2023-12-20,9225,9340,9225,9295,201900.0
2023-12-21,9285,9285,9010,9075,246740.0
2023-12-22,9025,9165,9025,9100,206010.0
2023-12-26,9195,9195,9045,9100,175090.0
2023-12-27,9025,9300,9025,9300,169250.0
2023-12-28,9300,9575,9300,9510,227840.0
2024-01-02,9510,9560,9445,9550,261060.0
2024-01-03,9450,9450,9215,9225,193010.0
2024-01-04,9225,9290,9170,9290,152940.0
2024-01-05,9325,9325,9100,9160,158750.0
2024-01-08,9160,9270,9135,9180,172680.0
2024-01-09,9290,9290,9020,9025,184480.0
2024-01-10,9125,9125,8920,9010,144130.0
2024-01-11,9120,9120,8820,8840,283200.0
2024-01-12,8800,8915,8800,8830,177180.0
2024-01-15,8835,9025,8805,9025,193650.0
2024-01-16,9060,9060,8725,8750,297620.0
2024-01-17,8690,8750,8470,8490,205040.0
2024-01-18,8495,8665,8475,8530,183050.0
2024-01-19,8670,8900,8630,8900,309870.0
2024-01-22,9100,9100,8880,8950,160720.0
2024-01-23,9035,9040,8835,8885,159620.0
2024-01-24,8950,8950,8650,8765,149860.0
2024-01-25,8840,8900,8650,8870,147900.0
2024-01-26,8870,8995,8810,8880,183130.0
2024-01-29,8990,8990,8745,8770,152250.0
2024-01-30,8880,8880,8510,8545,205720.0
2024-01-31,8575,8640,8515,8615,177800.0
2024-02-01,8505,8595,8485,8585,155960.0
2024-02-02,8585,8760,8555,8730,215710.0
2024-02-05,8820,8835,8615,8750,200830.0
2024-02-06,8750,8815,8700,8730,168210.0
2024-02-07,8805,8865,8770,8810,164210.0
2024-02-08,8900,8900,8785,8830,169030.0
2024-02-13,8835,8935,8695,8745,193620.0
2024-02-14,8670,8725,8540,8580,209590.0
2024-02-15,8670,8695,8555,8585,137270.0
2024-02-16,8640,8720,8615,8630,151420.0
2024-02-19,8750,8750,8605,8645,153650.0
2024-02-20,8700,8700,8505,8515,150410.0
2024-02-21,8580,8680,8535,8635,127750.0
2024-02-22,8700,8700,8555,8565,147550.0
2024-02-23,8660,8660,8520,8525,145660.0
2024-02-26,8520,8555,8440,8515,138900.0
2024-02-27,8525,8780,8420,8700,221630.0
2024-02-28,8775,9015,8640,8970,334740.0
2024-02-29,8975,8980,8850,8855,194910.0
2024-03-04,8975,8975,8565,8605,362740.0
2024-03-05,8645,8740,8560,8600,122730.0
2024-03-06,8600,8660,8555,8610,126780.0
2024-03-07,8645,8700,8565,8615,77560.0
2024-03-08,8685,8685,8495,8530,149230.0
2024-03-11,8535,8925,8510,8865,314700.0
2024-03-12,8915,8955,8750,8865,116240.0
2024-03-13,8855,8925,8740,8810,138020.0
2024-03-14,8820,9650,8820,9545,836270.0
2024-03-15,9705,9985,9515,9535,674740.0
2024-03-18,9795,9935,9605,9870,915940.0
2024-03-19,9915,9915,9580,9710,616130.0
2024-03-20,9760,9965,9755,9930,636130.0
2024-03-21,10025,10025,9780,9965,357460.0
2024-03-22,10085,10085,9850,10050,397290.0
2024-03-25,10055,10055,9815,9915,364380.0
2024-03-26,9995,10040,9795,9870,357400.0
2024-03-27,9975,9975,9455,9590,693300.0
2024-03-28,9610,9715,9465,9490,598760.0
2024-03-29,9515,9595,9380,9450,322320.0
2024-04-01,9450,9535,9300,9525,564830.0
2024-04-02,9595,9630,9345,9595,706400.0
2024-04-03,9645,9685,9465,9580,503660.0
2024-04-04,9630,9630,9270,9480,2560000.0
2024-04-05,9365,9560,9360,9490,219430.0
2024-04-08,9550,9550,9300,9330,263080.0
